meter_id,daily_kw,date,region,customer_type,substation_id,capacity_flag
M-00648,2897,2026-03-30,NORTH_COAST,commercial,SUB-026,false
M-00649,709,2026-03-29,NORTH_COAST,residential,SUB-036,false
M-00650,1779,2026-03-30,NORTH_COAST,residential,SUB-010,false
M-00651,2481,2026-03-28,EAST_COAST,residential,SUB-014,false
M-00652,1645,2026-03-29,EAST,residential,SUB-019,false
M-00653,659,2026-03-26,NORTH,industrial,SUB-034,false
M-00654,1195,2026-03-29,SOUTH_INLAND,residential,SUB-012,false
M-00655,3653,2026-03-30,WEST,residential,SUB-029,true
M-00656,2880,2026-03-28,WEST_COAST,residential,SUB-006,false
M-00657,1929,2026-03-25,WEST_INLAND,residential,SUB-024,false
M-00658,4156,2026-03-30,SOUTH_COAST,residential,SUB-005,true
M-00659,3699,2026-03-24,NORTH_INLAND,residential,SUB-004,true
M-00660,2923,2026-03-30,SOUTH,industrial,SUB-038,false
M-00661,350,2026-03-30,EAST_INLAND,commercial,SUB-002,false
M-00662,2597,2026-03-27,EAST_INLAND,industrial,SUB-019,false
M-00663,2195,2026-03-27,NORTH,commercial,SUB-002,false
M-00664,3105,2026-03-30,NORTH,industrial,SUB-021,true
M-00665,1258,2026-03-27,NORTH_INLAND,commercial,SUB-022,false
M-00666,3264,2026-03-29,SOUTH,commercial,SUB-007,true
M-00667,1290,2026-03-24,NORTH_COAST,commercial,SUB-009,false
M-00668,2611,2026-03-28,WEST,residential,SUB-024,false
M-00669,2585,2026-03-29,WEST_COAST,residential,SUB-025,false
M-00670,616,2026-03-26,NORTH_INLAND,residential,SUB-031,false
M-00671,3078,2026-03-25,EAST,residential,SUB-026,true
M-00672,3921,2026-03-25,WEST_COAST,commercial,SUB-019,true
M-00673,320,2026-03-26,WEST,industrial,SUB-026,false
M-00674,3673,2026-03-26,NORTH,residential,SUB-025,true
M-00675,118,2026-03-27,WEST_INLAND,residential,SUB-022,false
M-00676,2908,2026-03-28,EAST,residential,SUB-012,false
M-00677,2982,2026-03-24,SOUTH,industrial,SUB-028,false
M-00678,3085,2026-03-25,NORTH,residential,SUB-025,true
M-00679,1078,2026-03-26,SOUTH_COAST,commercial,SUB-023,false
M-00680,3936,2026-03-27,WEST_INLAND,commercial,SUB-023,true
M-00681,679,2026-03-30,NORTH_COAST,industrial,SUB-017,false
M-00682,1988,2026-03-30,NORTH_COAST,residential,SUB-006,false
M-00683,2478,2026-03-24,NORTH,commercial,SUB-009,false
M-00684,1084,2026-03-25,SOUTH_COAST,residential,SUB-034,false
M-00685,1586,2026-03-25,WEST_INLAND,residential,SUB-034,false
M-00686,1863,2026-03-30,NORTH_COAST,residential,SUB-024,false
M-00687,1612,2026-03-30,SOUTH_INLAND,commercial,SUB-015,false
M-00688,2023,2026-03-28,NORTH_COAST,residential,SUB-036,false
M-00689,1951,2026-03-24,WEST_COAST,residential,SUB-037,false
M-00690,1173,2026-03-25,SOUTH,residential,SUB-035,false
M-00691,2938,2026-03-24,WEST_COAST,residential,SUB-007,false
M-00692,2028,2026-03-28,SOUTH_INLAND,residential,SUB-021,false
M-00693,4124,2026-03-29,SOUTH_INLAND,industrial,SUB-029,true
M-00694,3842,2026-03-28,NORTH_COAST,commercial,SUB-012,true
M-00695,2882,2026-03-29,EAST,residential,SUB-012,false
M-00696,2517,2026-03-24,NORTH,industrial,SUB-009,false
M-00697,2692,2026-03-27,SOUTH_INLAND,commercial,SUB-035,false
M-00698,2707,2026-03-24,SOUTH_COAST,commercial,SUB-017,false
M-00699,536,2026-03-25,WEST,residential,SUB-026,false
M-00700,2290,2026-03-24,SOUTH_INLAND,residential,SUB-030,false
M-00701,1848,2026-03-29,NORTH_INLAND,commercial,SUB-028,false
M-00702,3473,2026-03-28,EAST,residential,SUB-008,true
M-00703,1477,2026-03-28,EAST,residential,SUB-031,false
M-00704,4030,2026-03-26,SOUTH,residential,SUB-016,true
M-00705,1198,2026-03-28,NORTH_COAST,commercial,SUB-034,false
M-00706,865,2026-03-24,NORTH,residential,SUB-038,false
M-00707,285,2026-03-25,EAST_COAST,residential,SUB-025,false
M-00708,2183,2026-03-28,EAST,industrial,SUB-001,false
M-00709,2125,2026-03-30,SOUTH,commercial,SUB-029,false
M-00710,999,2026-03-29,WEST_COAST,residential,SUB-005,false
M-00711,815,2026-03-29,EAST_COAST,commercial,SUB-023,false
M-00712,1219,2026-03-24,WEST_INLAND,commercial,SUB-024,false
M-00713,2187,2026-03-28,NORTH_COAST,industrial,SUB-028,false
M-00714,2228,2026-03-25,WEST_INLAND,commercial,SUB-038,false
M-00715,516,2026-03-30,WEST_COAST,industrial,SUB-001,false
M-00716,3209,2026-03-26,SOUTH_INLAND,industrial,SUB-013,true
M-00717,867,2026-03-30,EAST,residential,SUB-015,false
M-00718,3008,2026-03-30,NORTH_COAST,residential,SUB-004,true
M-00719,1630,2026-03-24,WEST_COAST,commercial,SUB-008,false
M-00720,2675,2026-03-26,WEST_COAST,commercial,SUB-002,false
M-00721,954,2026-03-28,NORTH_COAST,commercial,SUB-016,false
M-00722,1351,2026-03-27,WEST_COAST,industrial,SUB-028,false
M-00723,2958,2026-03-25,EAST_INLAND,commercial,SUB-005,false
M-00724,2983,2026-03-25,NORTH,commercial,SUB-028,false
M-00725,4029,2026-03-29,WEST_COAST,industrial,SUB-027,true
M-00726,1864,2026-03-24,EAST_COAST,commercial,SUB-014,false
M-00727,2717,2026-03-29,SOUTH,residential,SUB-026,false
M-00728,194,2026-03-29,WEST_INLAND,industrial,SUB-023,false
M-00729,3446,2026-03-29,WEST_INLAND,residential,SUB-005,true
M-00730,2007,2026-03-26,NORTH_INLAND,commercial,SUB-033,false
M-00731,1134,2026-03-26,WEST,residential,SUB-026,false
M-00732,3858,2026-03-29,WEST_INLAND,residential,SUB-017,true
M-00733,3878,2026-03-30,SOUTH_INLAND,industrial,SUB-004,true
M-00734,435,2026-03-27,NORTH_COAST,residential,SUB-036,false
M-00735,3881,2026-03-26,NORTH,commercial,SUB-024,true
M-00736,1842,2026-03-24,WEST_INLAND,residential,SUB-020,false
M-00737,3800,2026-03-29,EAST_INLAND,residential,SUB-031,true
M-00738,1590,2026-03-24,WEST_INLAND,commercial,SUB-005,false
M-00739,488,2026-03-27,EAST,commercial,SUB-033,false
M-00740,3225,2026-03-29,SOUTH_COAST,residential,SUB-019,true
M-00741,2781,2026-03-29,EAST_COAST,residential,SUB-001,false
M-00742,3337,2026-03-28,WEST_COAST,industrial,SUB-007,true
M-00743,3131,2026-03-29,SOUTH_INLAND,residential,SUB-029,true
M-00744,3914,2026-03-25,EAST_COAST,residential,SUB-019,true
M-00745,2038,2026-03-30,NORTH_COAST,residential,SUB-023,false
M-00746,3863,2026-03-26,EAST_INLAND,residential,SUB-005,true
M-00747,3214,2026-03-25,WEST,residential,SUB-006,true
M-00748,787,2026-03-27,NORTH,commercial,SUB-014,false
M-00749,1334,2026-03-24,EAST_INLAND,commercial,SUB-036,false
M-00750,3136,2026-03-24,WEST_COAST,commercial,SUB-016,true
M-00751,3295,2026-03-28,WEST_INLAND,residential,SUB-030,true
M-00752,916,2026-03-28,WEST,commercial,SUB-040,false
M-00753,442,2026-03-24,EAST_COAST,industrial,SUB-033,false
M-00754,3023,2026-03-26,EAST_COAST,residential,SUB-019,true
M-00755,1207,2026-03-28,NORTH,residential,SUB-037,false
M-00756,3785,2026-03-24,EAST_COAST,commercial,SUB-007,true
M-00757,2179,2026-03-29,NORTH,industrial,SUB-030,false
M-00758,808,2026-03-26,SOUTH_INLAND,industrial,SUB-034,false
M-00759,4137,2026-03-25,WEST_COAST,commercial,SUB-003,true
M-00760,1841,2026-03-30,EAST_COAST,residential,SUB-016,false
M-00761,1389,2026-03-24,NORTH_INLAND,residential,SUB-025,false
M-00762,2999,2026-03-24,SOUTH,residential,SUB-033,false
M-00763,1305,2026-03-28,EAST_COAST,residential,SUB-020,false
M-00764,2848,2026-03-24,WEST_INLAND,industrial,SUB-005,false
M-00765,2412,2026-03-30,NORTH_COAST,residential,SUB-024,false
M-00766,2373,2026-03-27,SOUTH,residential,SUB-021,false
M-00767,2839,2026-03-27,WEST,commercial,SUB-008,false
M-00768,2218,2026-03-25,WEST,residential,SUB-017,false
M-00769,787,2026-03-26,SOUTH,commercial,SUB-003,false
M-00770,2221,2026-03-27,WEST,residential,SUB-006,false
M-00771,1639,2026-03-28,EAST,residential,SUB-018,false
M-00772,1296,2026-03-29,WEST_INLAND,commercial,SUB-032,false
M-00773,792,2026-03-28,WEST,residential,SUB-015,false
M-00774,4191,2026-03-27,NORTH,residential,SUB-019,true
M-00775,3771,2026-03-30,SOUTH_INLAND,residential,SUB-036,true
M-00776,3503,2026-03-29,WEST,residential,SUB-016,true
M-00777,3078,2026-03-29,NORTH,residential,SUB-033,true
M-00778,2330,2026-03-26,SOUTH_INLAND,residential,SUB-036,false
M-00779,1797,2026-03-24,NORTH_INLAND,residential,SUB-028,false
M-00780,2221,2026-03-26,SOUTH_COAST,commercial,SUB-032,false
M-00781,3506,2026-03-25,SOUTH_COAST,residential,SUB-009,true
M-00782,3763,2026-03-26,EAST,commercial,SUB-032,true
M-00783,3904,2026-03-27,SOUTH_COAST,commercial,SUB-030,true
M-00784,3458,2026-03-29,EAST,residential,SUB-010,true
M-00785,4153,2026-03-29,NORTH_INLAND,residential,SUB-006,true
M-00786,1805,2026-03-28,WEST,industrial,SUB-022,false
M-00787,2743,2026-03-26,WEST,residential,SUB-001,false
M-00788,3404,2026-03-30,NORTH_COAST,commercial,SUB-033,true
M-00789,2763,2026-03-29,EAST,residential,SUB-040,false
M-00790,4081,2026-03-26,EAST_COAST,residential,SUB-003,true
M-00791,2578,2026-03-30,SOUTH_COAST,residential,SUB-010,false
M-00792,2987,2026-03-24,NORTH_INLAND,commercial,SUB-011,false
M-00793,2584,2026-03-28,NORTH_COAST,residential,SUB-027,false
M-00794,267,2026-03-28,NORTH,industrial,SUB-028,false
M-00795,4172,2026-03-24,SOUTH_COAST,residential,SUB-022,true
M-00796,3512,2026-03-25,EAST_INLAND,residential,SUB-037,true
M-00797,751,2026-03-28,WEST_COAST,residential,SUB-028,false
M-00798,1673,2026-03-26,SOUTH,commercial,SUB-028,false
M-00799,308,2026-03-26,EAST_COAST,residential,SUB-002,false
M-00800,1509,2026-03-26,WEST,residential,SUB-020,false
