meter_id,daily_kw,date,region,year,month,tier,substation_name,customer_type,is_valid
M-E-009,2450.0,2026-03-07,EAST,2026,3,high,Eastern Distribution Node,commercial,True
M-E-010,680.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-011,4700.0,2026-03-07,EAST,2026,3,critical,Eastern Distribution Node,commercial,True
M-E-012,1100.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-013,360.0,2026-03-07,EAST,2026,3,low,Eastern Distribution Node,residential,True
M-E-014,2850.0,2026-03-07,EAST,2026,3,high,Eastern Distribution Node,commercial,True
M-E-015,930.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-016,1420.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-017,3500.0,2026-03-07,EAST,2026,3,high,Eastern Distribution Node,commercial,True
M-E-018,750.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-019,1950.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-020,620.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-W-001,950.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-002,1800.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-003,3100.0,2026-03-07,WEST,2026,3,high,Western Relay Station,commercial,True
M-W-004,560.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-005,2400.0,2026-03-07,WEST,2026,3,high,Western Relay Station,commercial,True
M-W-006,1100.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-007,440.0,2026-03-07,WEST,2026,3,low,Western Relay Station,residential,True
M-W-008,3800.0,2026-03-07,WEST,2026,3,high,Western Relay Station,commercial,True
M-W-009,1650.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-010,700.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-011,2100.0,2026-03-07,WEST,2026,3,high,Western Relay Station,commercial,True
M-W-012,880.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-013,5500.0,2026-03-07,WEST,2026,3,critical,Western Relay Station,commercial,True
M-W-014,350.0,2026-03-07,WEST,2026,3,low,Western Relay Station,residential,True
M-W-015,1400.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-016,2700.0,2026-03-07,WEST,2026,3,high,Western Relay Station,commercial,True
M-W-017,790.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-018,1250.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
M-W-019,3450.0,2026-03-07,WEST,2026,3,high,Western Relay Station,commercial,True
M-W-020,620.0,2026-03-07,WEST,2026,3,medium,Western Relay Station,residential,True
