meter_id,daily_kw,date,region,year,month,tariff_code,substation_name
E-3-002,300.0,2026-04-18,EAST-3,2026,4,RESIDENTIAL,Eastern Distribution Node 3
E-3-004,300.0,2026-04-18,EAST-3,2026,4,RESIDENTIAL,Eastern Distribution Node 3
E-3-005,300.0,2026-04-18,EAST-3,2026,4,COMMERCIAL,Eastern Distribution Node 3
W-1-001,300.0,2026-04-18,WEST-1,2026,4,COMMERCIAL,Western Relay Station 1
W-1-002,300.0,2026-04-18,WEST-1,2026,4,RESIDENTIAL,Western Relay Station 1
W-1-003,300.0,2026-04-18,WEST-1,2026,4,COMMERCIAL,Western Relay Station 1
W-1-005,300.0,2026-04-18,WEST-1,2026,4,COMMERCIAL,Western Relay Station 1
W-2-001,300.0,2026-04-18,WEST-2,2026,4,COMMERCIAL,Western Relay Station 2
W-2-002,300.0,2026-04-18,WEST-2,2026,4,RESIDENTIAL,Western Relay Station 2
W-2-003,300.0,2026-04-18,WEST-2,2026,4,COMMERCIAL,Western Relay Station 2
W-2-004,300.0,2026-04-18,WEST-2,2026,4,RESIDENTIAL,Western Relay Station 2
W-2-005,300.0,2026-04-18,WEST-2,2026,4,COMMERCIAL,Western Relay Station 2
W-3-001,300.0,2026-04-18,WEST-3,2026,4,COMMERCIAL,Western Relay Station 3
W-3-002,300.0,2026-04-18,WEST-3,2026,4,RESIDENTIAL,Western Relay Station 3
W-3-003,300.0,2026-04-18,WEST-3,2026,4,COMMERCIAL,Western Relay Station 3
W-3-004,300.0,2026-04-18,WEST-3,2026,4,RESIDENTIAL,Western Relay Station 3
W-3-005,300.0,2026-04-18,WEST-3,2026,4,COMMERCIAL,Western Relay Station 3
