date,time_window,cpu_utilization_pct,memory_utilization_pct,pending_applications
2026-03-14,evening_18_24,38.3,49.9,0
2026-03-15,night_00_06,23.9,32.4,0
2026-03-15,morning_06_12,90.0,92.0,2
2026-03-15,afternoon_12_18,45.7,57.3,0
2026-03-15,evening_18_24,29.6,35.6,0
2026-03-16,night_00_06,33.9,29.2,0
2026-03-16,morning_06_12,90.7,94.9,2
2026-03-16,afternoon_12_18,46.5,64.7,0
2026-03-16,evening_18_24,26.5,27.1,0
2026-03-17,night_00_06,19.0,29.7,0
2026-03-17,morning_06_12,86.8,81.7,1
2026-03-17,afternoon_12_18,60.9,67.2,0
2026-03-17,evening_18_24,27.7,40.1,0
2026-03-18,night_00_06,33.7,27.4,0
2026-03-18,morning_06_12,84.7,90.2,0
2026-03-18,afternoon_12_18,44.8,65.6,0
2026-03-18,evening_18_24,41.8,31.2,0
2026-03-19,night_00_06,26.2,26.2,0
2026-03-19,morning_06_12,82.7,94.4,0
2026-03-19,afternoon_12_18,45.8,56.5,0
2026-03-19,evening_18_24,34.2,42.2,0
2026-03-20,night_00_06,17.0,28.4,0
2026-03-20,morning_06_12,88.8,91.2,1
2026-03-20,afternoon_12_18,47.1,65.6,0
2026-03-20,evening_18_24,23.5,45.2,0
2026-03-21,night_00_06,22.8,24.1,0
2026-03-21,morning_06_12,72.8,76.9,0
2026-03-21,afternoon_12_18,47.4,51.5,0
2026-03-21,evening_18_24,35.2,38.1,0
2026-03-22,night_00_06,26.1,21.1,0
2026-03-22,morning_06_12,88.4,79.9,1
2026-03-22,afternoon_12_18,50.8,61.2,0
2026-03-22,evening_18_24,29.1,27.0,0
2026-03-23,night_00_06,27.5,24.9,0
2026-03-23,morning_06_12,85.5,78.1,1
2026-03-23,afternoon_12_18,48.7,64.5,0
2026-03-23,evening_18_24,36.3,40.8,0
2026-03-24,night_00_06,22.9,36.6,0
2026-03-24,morning_06_12,81.9,89.9,0
2026-03-24,afternoon_12_18,53.8,51.6,0
2026-03-24,evening_18_24,26.2,44.4,0
2026-03-25,night_00_06,31.7,34.3,0
2026-03-25,morning_06_12,93.0,76.7,2
2026-03-25,afternoon_12_18,42.6,64.3,0
2026-03-25,evening_18_24,20.2,28.6,0
2026-03-26,night_00_06,19.4,37.3,0
2026-03-26,morning_06_12,81.3,84.8,0
2026-03-26,afternoon_12_18,42.9,47.1,0
2026-03-26,evening_18_24,33.4,35.7,0
2026-03-27,night_00_06,21.7,25.6,0
2026-03-27,morning_06_12,75.6,83.5,0
2026-03-27,afternoon_12_18,50.8,62.1,0
2026-03-27,evening_18_24,38.3,37.6,0
2026-03-28,night_00_06,22.2,23.9,0
2026-03-28,morning_06_12,81.7,94.0,0
2026-03-28,afternoon_12_18,53.4,67.9,0
2026-03-28,evening_18_24,32.5,27.5,0
2026-03-29,night_00_06,20.0,23.3,0
2026-03-29,morning_06_12,73.0,86.0,0
2026-03-29,afternoon_12_18,50.4,69.2,0
2026-03-29,evening_18_24,25.9,26.7,0
2026-03-30,night_00_06,22.4,24.8,0
2026-03-30,morning_06_12,90.3,85.3,2
2026-03-30,afternoon_12_18,64.7,59.4,0
2026-03-30,evening_18_24,35.1,41.9,0
