file_path,partition_date,file_size_mb,row_count
lh_silver/readings/date=2026-03-19/part-00078.parquet,2026-03-19,253.0,3036000
lh_silver/readings/date=2026-03-20/part-00079.parquet,2026-03-20,249.3,2991600
lh_silver/readings/date=2026-03-21/part-00080.parquet,2026-03-21,312.3,3747600
lh_silver/readings/date=2026-03-22/part-00081.parquet,2026-03-22,252.5,3030000
lh_silver/readings/date=2026-03-23/part-00082.parquet,2026-03-23,316.9,3802799
lh_silver/readings/date=2026-03-24/part-00083.parquet,2026-03-24,379.6,4555200
lh_silver/readings/date=2026-03-25/part-00084.parquet,2026-03-25,279.9,3358799
lh_silver/readings/date=2026-03-26/part-00085.parquet,2026-03-26,243.9,2926800
lh_silver/readings/date=2026-03-27/part-00086.parquet,2026-03-27,399.5,4794000
lh_silver/readings/date=2026-03-28/part-00087.parquet,2026-03-28,301.9,3622799
lh_silver/readings/date=2026-03-29/part-00088.parquet,2026-03-29,218.2,2618400
lh_silver/readings/date=2026-03-30/part-00089.parquet,2026-03-30,209.4,2512800
lh_silver/readings/date=2026-03-01/part-00090.parquet,2026-03-01,221.9,2662800
lh_silver/readings/date=2026-03-02/part-00091.parquet,2026-03-02,325.5,3906000
lh_silver/readings/date=2026-03-03/part-00092.parquet,2026-03-03,358.4,4300800
lh_silver/readings/date=2026-03-04/part-00093.parquet,2026-03-04,284.4,3412799
lh_silver/readings/date=2026-03-05/part-00094.parquet,2026-03-05,212.7,2552400
lh_silver/readings/date=2026-03-06/part-00095.parquet,2026-03-06,276.3,3315600
lh_silver/readings/date=2026-03-07/part-00096.parquet,2026-03-07,399.2,4790400
lh_silver/readings/date=2026-03-08/part-00097.parquet,2026-03-08,305.8,3669600
lh_silver/readings/date=2026-03-09/part-00098.parquet,2026-03-09,394.2,4730400
lh_silver/readings/date=2026-03-10/part-00099.parquet,2026-03-10,372.2,4466400
lh_silver/readings/date=2026-03-11/part-00100.parquet,2026-03-11,41.3,495599
lh_silver/readings/date=2026-03-12/part-00101.parquet,2026-03-12,119.3,1431600
lh_silver/readings/date=2026-03-13/part-00102.parquet,2026-03-13,115.0,1380000
lh_silver/readings/date=2026-03-14/part-00103.parquet,2026-03-14,99.1,1189200
lh_silver/readings/date=2026-03-15/part-00104.parquet,2026-03-15,69.4,832800
lh_silver/readings/date=2026-03-16/part-00105.parquet,2026-03-16,110.5,1326000
lh_silver/readings/date=2026-03-17/part-00106.parquet,2026-03-17,52.3,627600
lh_silver/readings/date=2026-03-18/part-00107.parquet,2026-03-18,87.8,1053600
lh_silver/readings/date=2026-03-19/part-00108.parquet,2026-03-19,89.9,1078800
lh_silver/readings/date=2026-03-20/part-00109.parquet,2026-03-20,144.9,1738800
lh_silver/readings/date=2026-03-21/part-00110.parquet,2026-03-21,136.3,1635600
lh_silver/readings/date=2026-03-22/part-00111.parquet,2026-03-22,69.0,828000
lh_silver/readings/date=2026-03-23/part-00112.parquet,2026-03-23,95.1,1141200
lh_silver/readings/date=2026-03-24/part-00113.parquet,2026-03-24,59.7,716400
lh_silver/readings/date=2026-03-25/part-00114.parquet,2026-03-25,140.4,1684800
lh_silver/readings/date=2026-03-26/part-00115.parquet,2026-03-26,135.8,1629600
lh_silver/readings/date=2026-03-27/part-00116.parquet,2026-03-27,72.8,873600
lh_silver/readings/date=2026-03-28/part-00117.parquet,2026-03-28,110.3,1323600
lh_silver/readings/date=2026-03-29/part-00118.parquet,2026-03-29,107.0,1284000
lh_silver/readings/date=2026-03-30/part-00119.parquet,2026-03-30,56.8,681600
lh_silver/readings/date=2026-03-01/part-00120.parquet,2026-03-01,123.9,1486800
lh_silver/readings/date=2026-03-02/part-00121.parquet,2026-03-02,99.3,1191600
lh_silver/readings/date=2026-03-03/part-00122.parquet,2026-03-03,125.6,1507200
lh_silver/readings/date=2026-03-04/part-00123.parquet,2026-03-04,98.3,1179600
lh_silver/readings/date=2026-03-05/part-00124.parquet,2026-03-05,40.1,481200
lh_silver/readings/date=2026-03-06/part-00125.parquet,2026-03-06,75.7,908400
lh_silver/readings/date=2026-03-07/part-00126.parquet,2026-03-07,42.1,505200
lh_silver/readings/date=2026-03-08/part-00127.parquet,2026-03-08,142.2,1706399
lh_silver/readings/date=2026-03-09/part-00128.parquet,2026-03-09,136.7,1640399
lh_silver/readings/date=2026-03-10/part-00129.parquet,2026-03-10,131.5,1578000
lh_silver/readings/date=2026-03-11/part-00130.parquet,2026-03-11,1015.3,12183600
lh_silver/readings/date=2026-03-12/part-00131.parquet,2026-03-12,840.5,10086000
lh_silver/readings/date=2026-03-13/part-00132.parquet,2026-03-13,1414.6,16975200
lh_silver/readings/date=2026-03-14/part-00133.parquet,2026-03-14,1462.9,17554800
lh_silver/readings/date=2026-03-15/part-00134.parquet,2026-03-15,860.0,10320000
lh_silver/readings/date=2026-03-16/part-00135.parquet,2026-03-16,1140.2,13682400
lh_silver/readings/date=2026-03-17/part-00136.parquet,2026-03-17,848.4,10180800
lh_silver/readings/date=2026-03-18/part-00137.parquet,2026-03-18,1332.4,15988800
lh_silver/readings/date=2026-03-19/part-00138.parquet,2026-03-19,1336.1,16033199
lh_silver/readings/date=2026-03-20/part-00139.parquet,2026-03-20,889.9,10678800
lh_silver/readings/date=2026-03-21/part-00140.parquet,2026-03-21,1132.7,13592400
lh_silver/readings/date=2026-03-22/part-00141.parquet,2026-03-22,1184.9,14218800
lh_silver/readings/date=2026-03-23/part-00142.parquet,2026-03-23,985.5,11826000
lh_silver/readings/date=2026-03-24/part-00143.parquet,2026-03-24,1410.7,16928400
lh_silver/readings/date=2026-03-25/part-00144.parquet,2026-03-25,1096.2,13154400
lh_silver/readings/date=2026-03-26/part-00145.parquet,2026-03-26,948.3,11379600
lh_silver/readings/date=2026-03-27/part-00146.parquet,2026-03-27,1177.5,14130000
lh_silver/readings/date=2026-03-28/part-00147.parquet,2026-03-28,1311.0,15732000
lh_silver/readings/date=2026-03-29/part-00148.parquet,2026-03-29,940.8,11289600
lh_silver/readings/date=2026-03-30/part-00149.parquet,2026-03-30,1018.2,12218400
