meter_id,region,customer_type,daily_kw,date
M-01585,NORTH,RESIDENTIAL,23.58,2026-01-09
M-01523,SOUTH,COMMERCIAL,97.29,2026-01-14
M-00228,EAST,RESIDENTIAL,8.45,2026-01-19
M-00343,EAST,COMMERCIAL,96.69,2026-01-18
M-00971,NORTH,RESIDENTIAL,11.48,2026-01-27
M-00013,EAST,INDUSTRIAL,417.97,2026-01-15
M-00111,EAST,RESIDENTIAL,20.02,2026-01-05
M-01690,SOUTH,COMMERCIAL,85.64,2026-01-08
M-01611,EAST,COMMERCIAL,74.4,2026-01-30
M-01849,SOUTH,RESIDENTIAL,18.61,2026-01-05
M-01327,SOUTH,RESIDENTIAL,19.38,2026-01-13
M-00032,WEST,RESIDENTIAL,16.97,2026-01-05
M-01204,NORTH,RESIDENTIAL,19.57,2026-01-09
M-01547,SOUTH,RESIDENTIAL,20.75,2026-01-03
M-01918,WEST,INDUSTRIAL,499.62,2026-01-22
M-01496,SOUTH,RESIDENTIAL,16.01,2026-01-01
M-01687,WEST,COMMERCIAL,79.56,2026-01-15
M-01634,NORTH,RESIDENTIAL,16.32,2026-01-27
M-01264,EAST,COMMERCIAL,86.28,2026-01-01
M-00427,SOUTH,RESIDENTIAL,19.59,2026-01-22
M-00724,WEST,INDUSTRIAL,502.28,2026-01-11
M-00194,WEST,COMMERCIAL,97.72,2026-01-08
M-00162,SOUTH,PROSUMER,11.06,2026-01-21
M-00954,NORTH,COMMERCIAL,93.47,2026-01-20
M-00050,NORTH,COMMERCIAL,66.5,2026-01-22
M-00275,NORTH,COMMERCIAL,107.63,2026-01-09
M-00736,SOUTH,RESIDENTIAL,16.38,2026-01-19
M-01107,SOUTH,COMMERCIAL,87.67,2026-01-12
M-00217,SOUTH,RESIDENTIAL,18.48,2026-01-04
M-01178,NORTH,RESIDENTIAL,23.17,2026-01-22
M-01100,NORTH,RESIDENTIAL,22.3,2026-01-19
M-01889,NORTH,PROSUMER,14.74,2026-01-27
M-01107,SOUTH,COMMERCIAL,97.47,2026-01-29
M-00829,WEST,RESIDENTIAL,16.73,2026-01-25
M-01644,SOUTH,RESIDENTIAL,13.8,2026-01-18
M-01813,WEST,INDUSTRIAL,417.33,2026-01-14
M-01621,NORTH,COMMERCIAL,101.24,2026-01-29
M-01861,NORTH,RESIDENTIAL,17.36,2026-01-17
M-00950,WEST,COMMERCIAL,79.09,2026-01-13
M-00121,EAST,INDUSTRIAL,496.79,2026-01-30
M-00639,NORTH,INDUSTRIAL,424.67,2026-01-15
M-00531,EAST,COMMERCIAL,75.79,2026-01-01
M-01682,EAST,RESIDENTIAL,17.86,2026-01-22
M-01142,WEST,RESIDENTIAL,19.29,2026-01-03
M-00067,SOUTH,COMMERCIAL,84.1,2026-01-16
M-00598,EAST,RESIDENTIAL,18.81,2026-01-20
M-00896,WEST,COMMERCIAL,79.45,2026-01-10
M-00090,NORTH,INDUSTRIAL,335.33,2026-01-02
M-01565,NORTH,INDUSTRIAL,478.59,2026-01-17
M-01912,SOUTH,INDUSTRIAL,437.49,2026-01-27
M-00413,NORTH,RESIDENTIAL,11.59,2026-01-13
M-01246,SOUTH,RESIDENTIAL,17.83,2026-01-31
M-00405,SOUTH,RESIDENTIAL,16.6,2026-01-26
M-00668,WEST,RESIDENTIAL,17.62,2026-01-08
M-00896,WEST,COMMERCIAL,94.93,2026-01-09
M-00920,EAST,RESIDENTIAL,21.05,2026-01-31
M-00241,SOUTH,RESIDENTIAL,17.02,2026-01-08
M-01176,SOUTH,COMMERCIAL,74.0,2026-01-31
M-00885,WEST,RESIDENTIAL,17.59,2026-01-06
M-00304,EAST,RESIDENTIAL,19.01,2026-01-23
M-00341,NORTH,RESIDENTIAL,16.71,2026-01-07
M-01523,SOUTH,COMMERCIAL,54.9,2026-01-24
M-00304,EAST,RESIDENTIAL,18.33,2026-01-28
M-00030,EAST,RESIDENTIAL,18.12,2026-01-12
M-00427,SOUTH,RESIDENTIAL,17.92,2026-01-25
M-00447,EAST,PROSUMER,12.32,2026-01-01
M-01063,EAST,COMMERCIAL,85.91,2026-01-13
M-00510,SOUTH,RESIDENTIAL,16.89,2026-01-26
M-00826,SOUTH,RESIDENTIAL,22.13,2026-01-15
M-00491,WEST,RESIDENTIAL,18.2,2026-01-19
M-01058,NORTH,RESIDENTIAL,18.17,2026-01-17
M-01171,SOUTH,RESIDENTIAL,19.81,2026-01-25
M-00249,WEST,RESIDENTIAL,7.9,2026-01-09
M-00244,EAST,RESIDENTIAL,18.17,2026-01-13
M-01956,SOUTH,INDUSTRIAL,406.99,2026-01-28
M-01742,NORTH,RESIDENTIAL,14.62,2026-01-03
M-01286,WEST,PROSUMER,14.0,2026-01-05
M-01681,EAST,RESIDENTIAL,20.03,2026-01-08
M-01913,WEST,RESIDENTIAL,20.42,2026-01-15
M-01520,SOUTH,COMMERCIAL,71.33,2026-01-27
M-01584,WEST,RESIDENTIAL,16.36,2026-01-19
M-01489,NORTH,COMMERCIAL,83.89,2026-01-15
M-00796,SOUTH,COMMERCIAL,67.35,2026-01-01
M-01110,NORTH,RESIDENTIAL,17.76,2026-01-26
M-01726,WEST,INDUSTRIAL,367.07,2026-01-31
M-00169,WEST,RESIDENTIAL,21.62,2026-01-31
M-00871,NORTH,RESIDENTIAL,13.31,2026-01-16
M-00529,EAST,PROSUMER,12.02,2026-01-13
M-01887,EAST,INDUSTRIAL,440.3,2026-01-20
M-01672,SOUTH,INDUSTRIAL,494.66,2026-01-27
M-01402,SOUTH,RESIDENTIAL,17.44,2026-01-08
M-00511,SOUTH,PROSUMER,12.6,2026-01-14
M-01711,EAST,INDUSTRIAL,439.29,2026-01-08
M-01952,WEST,RESIDENTIAL,19.05,2026-01-15
M-01808,SOUTH,RESIDENTIAL,18.6,2026-01-03
M-00652,EAST,RESIDENTIAL,16.2,2026-01-03
M-00757,SOUTH,COMMERCIAL,71.18,2026-01-23
M-00531,EAST,COMMERCIAL,63.48,2026-01-11
M-01972,NORTH,RESIDENTIAL,17.96,2026-01-26
M-00633,EAST,INDUSTRIAL,460.2,2026-01-05
M-00533,WEST,RESIDENTIAL,17.7,2026-01-26
M-01737,EAST,RESIDENTIAL,20.56,2026-01-22
M-00664,WEST,COMMERCIAL,85.92,2026-01-25
M-00490,EAST,RESIDENTIAL,17.43,2026-01-09
M-00659,WEST,PROSUMER,12.23,2026-01-13
M-01933,NORTH,RESIDENTIAL,16.4,2026-01-19
M-01192,SOUTH,COMMERCIAL,78.96,2026-01-29
M-01442,WEST,RESIDENTIAL,19.87,2026-01-09
M-00304,EAST,RESIDENTIAL,15.83,2026-01-23
M-00110,EAST,RESIDENTIAL,19.37,2026-01-04
M-01805,WEST,COMMERCIAL,87.5,2026-01-21
M-01477,NORTH,COMMERCIAL,92.36,2026-01-01
M-01105,EAST,RESIDENTIAL,14.07,2026-01-30
M-00188,WEST,RESIDENTIAL,11.93,2026-01-23
M-01337,NORTH,COMMERCIAL,83.74,2026-01-08
M-01052,SOUTH,RESIDENTIAL,14.21,2026-01-15
M-01983,SOUTH,RESIDENTIAL,15.37,2026-01-01
M-00306,SOUTH,COMMERCIAL,90.43,2026-01-31
M-01088,SOUTH,COMMERCIAL,80.55,2026-01-12
M-01026,NORTH,COMMERCIAL,93.99,2026-01-29
M-00666,NORTH,RESIDENTIAL,18.9,2026-01-29
M-00279,EAST,INDUSTRIAL,439.69,2026-01-15
M-01305,EAST,RESIDENTIAL,23.9,2026-01-07
M-00843,NORTH,RESIDENTIAL,21.35,2026-01-10
M-00706,WEST,INDUSTRIAL,542.74,2026-01-15
M-00036,WEST,RESIDENTIAL,17.56,2026-01-01
M-00194,WEST,COMMERCIAL,92.22,2026-01-25
M-01147,EAST,COMMERCIAL,97.68,2026-01-31
M-00220,NORTH,RESIDENTIAL,21.23,2026-01-18
M-00238,SOUTH,COMMERCIAL,80.78,2026-01-22
M-00362,EAST,COMMERCIAL,87.37,2026-01-26
M-01294,SOUTH,RESIDENTIAL,17.71,2026-01-11
M-01364,WEST,PROSUMER,12.28,2026-01-28
M-01828,SOUTH,COMMERCIAL,87.44,2026-01-13
M-00952,SOUTH,INDUSTRIAL,430.53,2026-01-20
M-00355,SOUTH,PROSUMER,13.78,2026-01-08
M-00049,SOUTH,RESIDENTIAL,18.97,2026-01-02
M-00175,WEST,INDUSTRIAL,349.07,2026-01-05
M-00939,WEST,RESIDENTIAL,16.76,2026-01-03
M-00061,NORTH,RESIDENTIAL,17.26,2026-01-03
M-00360,NORTH,PROSUMER,9.06,2026-01-07
M-01852,WEST,RESIDENTIAL,10.52,2026-01-05
M-01285,SOUTH,COMMERCIAL,68.97,2026-01-14
M-00141,EAST,COMMERCIAL,87.63,2026-01-12
M-01853,NORTH,RESIDENTIAL,18.35,2026-01-09
M-01939,NORTH,RESIDENTIAL,17.91,2026-01-18
M-01507,WEST,COMMERCIAL,83.1,2026-01-14
M-00892,EAST,RESIDENTIAL,14.94,2026-01-25
M-01581,WEST,RESIDENTIAL,24.0,2026-01-29
M-01497,EAST,PROSUMER,13.37,2026-01-30
M-00782,NORTH,RESIDENTIAL,17.65,2026-01-24
M-00095,EAST,PROSUMER,11.62,2026-01-29
M-00296,NORTH,RESIDENTIAL,19.59,2026-01-15
M-00859,WEST,RESIDENTIAL,19.36,2026-01-08
M-01691,EAST,RESIDENTIAL,16.17,2026-01-31
M-00052,EAST,RESIDENTIAL,16.25,2026-01-04
M-00015,WEST,RESIDENTIAL,16.31,2026-01-12
M-01023,EAST,RESIDENTIAL,17.85,2026-01-24
M-00420,WEST,COMMERCIAL,67.13,2026-01-31
M-01499,EAST,PROSUMER,10.98,2026-01-10
M-00482,EAST,RESIDENTIAL,18.08,2026-01-12
M-01144,NORTH,RESIDENTIAL,15.23,2026-01-31
M-00840,NORTH,RESIDENTIAL,19.48,2026-01-18
M-00347,WEST,COMMERCIAL,104.95,2026-01-06
M-01535,NORTH,COMMERCIAL,77.13,2026-01-22
M-00259,NORTH,INDUSTRIAL,269.54,2026-01-27
M-00808,SOUTH,RESIDENTIAL,19.71,2026-01-15
M-00008,EAST,INDUSTRIAL,368.95,2026-01-17
M-01658,SOUTH,RESIDENTIAL,19.76,2026-01-13
M-01915,NORTH,PROSUMER,14.86,2026-01-12
M-01952,WEST,RESIDENTIAL,16.04,2026-01-05
M-01753,EAST,RESIDENTIAL,17.82,2026-01-05
M-01898,SOUTH,RESIDENTIAL,19.06,2026-01-20
M-01801,EAST,RESIDENTIAL,20.06,2026-01-15
M-01118,SOUTH,RESIDENTIAL,16.15,2026-01-15
M-01046,NORTH,RESIDENTIAL,20.66,2026-01-28
M-00601,WEST,COMMERCIAL,66.31,2026-01-16
M-00957,WEST,RESIDENTIAL,19.39,2026-01-27
M-00124,WEST,PROSUMER,12.51,2026-01-21
M-00426,NORTH,INDUSTRIAL,484.72,2026-01-12
M-01911,WEST,COMMERCIAL,86.24,2026-01-04
M-01652,EAST,RESIDENTIAL,16.85,2026-01-17
M-00618,NORTH,RESIDENTIAL,21.29,2026-01-05
M-00258,EAST,PROSUMER,11.45,2026-01-08
M-00430,NORTH,RESIDENTIAL,19.98,2026-01-10
M-00110,EAST,RESIDENTIAL,17.17,2026-01-10
M-01544,WEST,INDUSTRIAL,292.06,2026-01-13
M-01122,SOUTH,RESIDENTIAL,19.46,2026-01-05
M-00689,WEST,RESIDENTIAL,17.5,2026-01-26
M-01305,EAST,RESIDENTIAL,20.04,2026-01-14
M-01539,EAST,RESIDENTIAL,14.94,2026-01-12
M-00336,WEST,PROSUMER,11.87,2026-01-12
M-00036,WEST,RESIDENTIAL,22.73,2026-01-13
M-01352,NORTH,COMMERCIAL,83.28,2026-01-23
M-01677,NORTH,RESIDENTIAL,20.17,2026-01-03
M-01570,SOUTH,COMMERCIAL,101.16,2026-01-04
M-01010,SOUTH,INDUSTRIAL,478.83,2026-01-25
M-00401,NORTH,RESIDENTIAL,14.84,2026-01-18
M-00950,WEST,COMMERCIAL,80.11,2026-01-08
M-00006,NORTH,COMMERCIAL,80.45,2026-01-28
M-00462,NORTH,RESIDENTIAL,16.28,2026-01-11
M-01387,WEST,RESIDENTIAL,18.77,2026-01-19
M-01770,EAST,INDUSTRIAL,347.99,2026-01-17
M-01652,EAST,RESIDENTIAL,17.46,2026-01-06
M-00568,EAST,RESIDENTIAL,14.73,2026-01-19
M-01642,SOUTH,INDUSTRIAL,226.63,2026-01-14
M-00830,EAST,RESIDENTIAL,16.05,2026-01-09
M-01774,EAST,RESIDENTIAL,23.19,2026-01-25
M-01673,SOUTH,RESIDENTIAL,18.6,2026-01-04
M-00090,NORTH,INDUSTRIAL,517.31,2026-01-06
M-00760,WEST,RESIDENTIAL,20.69,2026-01-10
M-00402,SOUTH,PROSUMER,12.0,2026-01-22
M-01488,NORTH,COMMERCIAL,79.72,2026-01-06
M-00507,EAST,COMMERCIAL,104.67,2026-01-28
M-00105,NORTH,COMMERCIAL,88.66,2026-01-10
M-01252,SOUTH,RESIDENTIAL,20.7,2026-01-24
M-01688,NORTH,RESIDENTIAL,17.14,2026-01-31
M-00491,WEST,RESIDENTIAL,20.67,2026-01-16
M-01315,NORTH,RESIDENTIAL,21.33,2026-01-28
M-01035,NORTH,INDUSTRIAL,440.67,2026-01-13
M-00335,NORTH,INDUSTRIAL,427.13,2026-01-02
M-01432,EAST,INDUSTRIAL,474.15,2026-01-07
M-01696,EAST,INDUSTRIAL,462.02,2026-01-19
M-01276,WEST,RESIDENTIAL,18.73,2026-01-20
M-00184,EAST,RESIDENTIAL,17.55,2026-01-26
M-00566,NORTH,RESIDENTIAL,19.72,2026-01-02
M-01883,EAST,RESIDENTIAL,17.3,2026-01-30
M-00973,NORTH,COMMERCIAL,89.5,2026-01-27
M-01413,SOUTH,PROSUMER,12.57,2026-01-16
M-01531,WEST,COMMERCIAL,72.92,2026-01-04
M-01336,NORTH,COMMERCIAL,77.36,2026-01-18
M-00850,SOUTH,RESIDENTIAL,18.24,2026-01-02
M-01291,WEST,PROSUMER,11.17,2026-01-25
M-00795,NORTH,COMMERCIAL,104.35,2026-01-29
M-01925,SOUTH,RESIDENTIAL,15.99,2026-01-12
M-01401,WEST,RESIDENTIAL,14.66,2026-01-23
M-00105,NORTH,COMMERCIAL,70.75,2026-01-24
M-01040,SOUTH,RESIDENTIAL,21.18,2026-01-09
M-01732,NORTH,COMMERCIAL,95.69,2026-01-21
M-00956,SOUTH,RESIDENTIAL,12.63,2026-01-27
M-01887,EAST,INDUSTRIAL,401.07,2026-01-01
M-01288,NORTH,COMMERCIAL,113.44,2026-01-04
M-00698,SOUTH,RESIDENTIAL,21.17,2026-01-08
M-00692,EAST,RESIDENTIAL,18.69,2026-01-17
M-00968,EAST,RESIDENTIAL,19.17,2026-01-30
M-00341,NORTH,RESIDENTIAL,12.66,2026-01-18
M-00909,NORTH,PROSUMER,11.36,2026-01-17
M-01526,NORTH,COMMERCIAL,63.18,2026-01-01
M-01227,NORTH,RESIDENTIAL,18.83,2026-01-25
M-00116,WEST,COMMERCIAL,85.91,2026-01-23
M-00851,NORTH,COMMERCIAL,91.15,2026-01-04
M-00874,WEST,RESIDENTIAL,14.94,2026-01-01
M-01596,SOUTH,RESIDENTIAL,16.95,2026-01-20
M-00963,SOUTH,RESIDENTIAL,21.22,2026-01-27
M-01387,WEST,RESIDENTIAL,22.72,2026-01-20
M-01801,EAST,RESIDENTIAL,11.18,2026-01-25
M-00515,NORTH,COMMERCIAL,65.1,2026-01-16
M-01005,NORTH,RESIDENTIAL,19.3,2026-01-25
M-00694,WEST,INDUSTRIAL,448.76,2026-01-27
M-00465,EAST,RESIDENTIAL,15.34,2026-01-02
M-01769,EAST,PROSUMER,12.61,2026-01-04
M-01843,NORTH,RESIDENTIAL,22.83,2026-01-29
M-01121,SOUTH,RESIDENTIAL,18.21,2026-01-01
M-01380,EAST,RESIDENTIAL,17.46,2026-01-24
M-00721,NORTH,PROSUMER,10.32,2026-01-15
M-01776,EAST,RESIDENTIAL,19.61,2026-01-17
M-00527,EAST,COMMERCIAL,86.53,2026-01-22
M-01778,SOUTH,RESIDENTIAL,19.59,2026-01-10
M-00437,EAST,INDUSTRIAL,521.13,2026-01-29
M-00810,SOUTH,RESIDENTIAL,20.79,2026-01-31
M-00249,WEST,RESIDENTIAL,24.59,2026-01-13
M-01199,SOUTH,RESIDENTIAL,18.65,2026-01-02
M-01370,NORTH,PROSUMER,10.28,2026-01-25
M-00784,NORTH,RESIDENTIAL,16.21,2026-01-18
M-00816,EAST,COMMERCIAL,96.25,2026-01-22
M-00967,NORTH,COMMERCIAL,74.44,2026-01-01
M-01399,SOUTH,INDUSTRIAL,463.76,2026-01-12
M-00136,NORTH,PROSUMER,11.34,2026-01-14
M-01184,WEST,PROSUMER,11.38,2026-01-28
M-01873,EAST,RESIDENTIAL,15.04,2026-01-30
M-01798,WEST,INDUSTRIAL,498.67,2026-01-31
M-00291,WEST,COMMERCIAL,75.92,2026-01-03
M-01718,SOUTH,RESIDENTIAL,21.96,2026-01-14
M-01833,WEST,RESIDENTIAL,19.19,2026-01-10
M-00010,EAST,RESIDENTIAL,15.6,2026-01-16
M-01901,NORTH,RESIDENTIAL,18.52,2026-01-01
M-01928,WEST,INDUSTRIAL,478.7,2026-01-31
M-01666,EAST,RESIDENTIAL,15.94,2026-01-21
M-01602,SOUTH,RESIDENTIAL,17.7,2026-01-06
M-00578,NORTH,INDUSTRIAL,444.82,2026-01-28
M-00231,WEST,RESIDENTIAL,22.36,2026-01-20
M-01103,SOUTH,RESIDENTIAL,18.26,2026-01-28
M-01110,NORTH,RESIDENTIAL,19.44,2026-01-28
M-00600,WEST,PROSUMER,12.36,2026-01-17
M-00618,NORTH,RESIDENTIAL,18.24,2026-01-30
M-00220,NORTH,RESIDENTIAL,13.62,2026-01-24
M-00153,SOUTH,COMMERCIAL,95.53,2026-01-27
M-00032,WEST,RESIDENTIAL,18.53,2026-01-11
M-00207,SOUTH,INDUSTRIAL,404.82,2026-01-12
M-01867,SOUTH,RESIDENTIAL,14.92,2026-01-03
M-01564,SOUTH,RESIDENTIAL,21.01,2026-01-26
M-01463,NORTH,RESIDENTIAL,22.17,2026-01-18
M-00828,WEST,PROSUMER,11.81,2026-01-23
M-01627,NORTH,COMMERCIAL,88.04,2026-01-08
M-01259,WEST,COMMERCIAL,110.47,2026-01-28
M-00676,WEST,RESIDENTIAL,17.57,2026-01-08
M-00007,WEST,RESIDENTIAL,19.1,2026-01-11
M-00035,WEST,RESIDENTIAL,21.36,2026-01-27
M-01868,EAST,RESIDENTIAL,21.1,2026-01-16
M-00862,EAST,RESIDENTIAL,18.18,2026-01-09
M-01036,EAST,RESIDENTIAL,16.44,2026-01-27
M-01656,WEST,RESIDENTIAL,19.23,2026-01-19
M-00251,SOUTH,RESIDENTIAL,12.83,2026-01-11
M-00968,EAST,RESIDENTIAL,15.75,2026-01-08
M-01567,WEST,COMMERCIAL,81.41,2026-01-30
M-01770,EAST,INDUSTRIAL,490.54,2026-01-04
M-01856,NORTH,COMMERCIAL,101.57,2026-01-15
M-01859,NORTH,PROSUMER,11.61,2026-01-16
M-00480,EAST,COMMERCIAL,90.1,2026-01-19
M-00763,NORTH,COMMERCIAL,71.01,2026-01-25
M-00700,EAST,COMMERCIAL,79.17,2026-01-12
M-00532,WEST,RESIDENTIAL,13.45,2026-01-05
M-00094,NORTH,RESIDENTIAL,22.47,2026-01-25
M-01376,NORTH,INDUSTRIAL,389.63,2026-01-26
M-01504,SOUTH,RESIDENTIAL,17.07,2026-01-13
M-00039,WEST,COMMERCIAL,82.0,2026-01-05
M-01554,EAST,RESIDENTIAL,20.16,2026-01-24
M-01726,WEST,INDUSTRIAL,428.98,2026-01-12
M-00948,WEST,RESIDENTIAL,15.2,2026-01-15
M-00290,WEST,PROSUMER,10.78,2026-01-02
M-00056,SOUTH,RESIDENTIAL,20.27,2026-01-15
M-00417,EAST,RESIDENTIAL,19.4,2026-01-02
M-00741,NORTH,RESIDENTIAL,15.33,2026-01-13
M-01650,WEST,COMMERCIAL,85.43,2026-01-09
M-01314,WEST,COMMERCIAL,70.41,2026-01-25
M-00471,NORTH,INDUSTRIAL,408.55,2026-01-16
M-00201,WEST,RESIDENTIAL,17.18,2026-01-16
M-00652,EAST,RESIDENTIAL,21.29,2026-01-10
M-01590,NORTH,RESIDENTIAL,17.56,2026-01-06
M-01820,EAST,RESIDENTIAL,17.7,2026-01-15
M-00618,NORTH,RESIDENTIAL,19.01,2026-01-17
M-01734,WEST,RESIDENTIAL,16.89,2026-01-11
M-00786,NORTH,RESIDENTIAL,14.13,2026-01-02
M-00332,WEST,INDUSTRIAL,442.78,2026-01-19
M-01540,WEST,RESIDENTIAL,19.85,2026-01-13
M-01404,NORTH,RESIDENTIAL,16.75,2026-01-17
M-00924,EAST,RESIDENTIAL,18.87,2026-01-06
M-01137,NORTH,RESIDENTIAL,22.63,2026-01-17
M-00919,NORTH,RESIDENTIAL,10.04,2026-01-14
M-00878,NORTH,RESIDENTIAL,19.92,2026-01-09
M-01828,SOUTH,COMMERCIAL,95.45,2026-01-13
M-01400,WEST,COMMERCIAL,104.04,2026-01-07
M-01761,SOUTH,RESIDENTIAL,23.12,2026-01-27
M-01447,WEST,INDUSTRIAL,460.33,2026-01-07
M-01124,NORTH,COMMERCIAL,81.95,2026-01-31
M-01886,SOUTH,PROSUMER,9.27,2026-01-13
M-00734,SOUTH,RESIDENTIAL,18.63,2026-01-20
M-00257,EAST,RESIDENTIAL,20.25,2026-01-07
M-01033,EAST,COMMERCIAL,76.57,2026-01-27
M-00974,SOUTH,PROSUMER,15.63,2026-01-20
M-01422,SOUTH,RESIDENTIAL,19.85,2026-01-01
M-01633,WEST,INDUSTRIAL,273.07,2026-01-09
M-00806,SOUTH,RESIDENTIAL,17.32,2026-01-19
M-01392,WEST,RESIDENTIAL,19.85,2026-01-08
M-01598,WEST,RESIDENTIAL,21.72,2026-01-12
M-01593,EAST,RESIDENTIAL,17.85,2026-01-08
M-00053,NORTH,RESIDENTIAL,20.49,2026-01-22
M-01075,NORTH,COMMERCIAL,96.07,2026-01-31
M-00972,EAST,RESIDENTIAL,13.99,2026-01-07
M-01184,WEST,PROSUMER,11.78,2026-01-14
M-00671,WEST,RESIDENTIAL,11.24,2026-01-20
M-01749,SOUTH,COMMERCIAL,76.13,2026-01-15
M-00019,SOUTH,INDUSTRIAL,440.95,2026-01-11
M-00393,WEST,PROSUMER,11.12,2026-01-22
M-00923,WEST,RESIDENTIAL,16.02,2026-01-02
M-01509,NORTH,RESIDENTIAL,12.42,2026-01-16
M-01024,SOUTH,COMMERCIAL,84.97,2026-01-23
M-00695,NORTH,COMMERCIAL,84.6,2026-01-12
M-00158,SOUTH,COMMERCIAL,98.65,2026-01-19
M-01443,EAST,COMMERCIAL,108.69,2026-01-28
M-01080,NORTH,RESIDENTIAL,18.88,2026-01-09
M-00302,WEST,COMMERCIAL,88.68,2026-01-28
M-00825,EAST,RESIDENTIAL,19.68,2026-01-24
M-01715,EAST,PROSUMER,10.82,2026-01-05
M-00123,SOUTH,COMMERCIAL,87.39,2026-01-23
M-00361,WEST,INDUSTRIAL,453.35,2026-01-06
M-00212,NORTH,COMMERCIAL,82.51,2026-01-04
M-01560,NORTH,RESIDENTIAL,20.61,2026-01-03
M-01334,EAST,COMMERCIAL,64.41,2026-01-29
M-01004,EAST,INDUSTRIAL,290.09,2026-01-14
M-00219,NORTH,COMMERCIAL,64.14,2026-01-14
M-00337,WEST,INDUSTRIAL,426.79,2026-01-02
M-01809,EAST,COMMERCIAL,77.66,2026-01-18
M-00762,SOUTH,RESIDENTIAL,16.75,2026-01-04
M-00828,WEST,PROSUMER,15.33,2026-01-19
M-01134,SOUTH,RESIDENTIAL,19.64,2026-01-08
M-00213,EAST,RESIDENTIAL,18.34,2026-01-27
M-00871,NORTH,RESIDENTIAL,16.38,2026-01-31
M-01755,NORTH,RESIDENTIAL,17.13,2026-01-26
M-00367,NORTH,COMMERCIAL,92.9,2026-01-06
M-00847,EAST,INDUSTRIAL,427.34,2026-01-31
M-01165,EAST,PROSUMER,11.23,2026-01-26
M-01824,EAST,RESIDENTIAL,17.63,2026-01-09
M-00378,NORTH,RESIDENTIAL,15.47,2026-01-22
M-00159,EAST,RESIDENTIAL,19.9,2026-01-02
M-00865,SOUTH,COMMERCIAL,89.85,2026-01-18
M-00952,SOUTH,INDUSTRIAL,423.84,2026-01-29
M-01817,WEST,PROSUMER,13.25,2026-01-25
M-00165,WEST,RESIDENTIAL,18.23,2026-01-13
M-01893,SOUTH,RESIDENTIAL,13.58,2026-01-07
M-01819,NORTH,RESIDENTIAL,19.57,2026-01-11
M-01404,NORTH,RESIDENTIAL,20.09,2026-01-01
M-00407,SOUTH,RESIDENTIAL,17.19,2026-01-07
M-00379,WEST,RESIDENTIAL,18.88,2026-01-14
M-01878,WEST,RESIDENTIAL,16.52,2026-01-09
M-00772,WEST,RESIDENTIAL,18.22,2026-01-19
M-01656,WEST,RESIDENTIAL,19.31,2026-01-15
M-00328,SOUTH,RESIDENTIAL,17.48,2026-01-19
M-00495,EAST,RESIDENTIAL,20.88,2026-01-30
M-01138,SOUTH,RESIDENTIAL,11.42,2026-01-01
M-00067,SOUTH,COMMERCIAL,77.03,2026-01-24
M-00815,SOUTH,RESIDENTIAL,19.89,2026-01-25
M-00321,WEST,RESIDENTIAL,17.1,2026-01-29
M-00717,SOUTH,RESIDENTIAL,17.33,2026-01-20
M-01127,SOUTH,RESIDENTIAL,13.06,2026-01-11
