meter_id,substation_id,region,daily_kw,date
M-00831,SS-W-029,WEST,17.62,2026-01-03
M-00031,SS-W-021,WEST,534.96,2026-01-10
M-00111,SS-E-009,EAST,15.64,2026-01-29
M-01967,SS-W-003,WEST,407.82,2026-01-31
M-00030,SS-E-016,EAST,25.78,2026-01-16
M-00198,SS-S-006,SOUTH,497.95,2026-01-03
M-00230,SS-S-019,SOUTH,100.29,2026-01-14
M-00957,SS-W-005,WEST,14.64,2026-01-09
M-00072,SS-N-024,NORTH,19.25,2026-01-09
M-01595,SS-E-013,EAST,14.35,2026-01-26
M-01796,SS-N-021,NORTH,22.82,2026-01-04
M-01223,SS-N-022,NORTH,16.89,2026-01-12
M-01350,SS-W-023,WEST,17.52,2026-01-15
M-01558,SS-W-019,WEST,16.61,2026-01-13
M-01260,SS-N-016,NORTH,20.86,2026-01-18
M-01188,SS-S-003,SOUTH,12.79,2026-01-20
M-01120,SS-S-004,SOUTH,21.9,2026-01-25
M-01500,SS-S-001,SOUTH,16.36,2026-01-11
M-00047,SS-E-017,EAST,491.16,2026-01-08
M-00857,SS-N-030,NORTH,394.31,2026-01-31
M-00187,SS-N-025,NORTH,542.53,2026-01-21
M-01336,SS-N-001,NORTH,74.85,2026-01-31
M-01516,SS-E-006,EAST,11.55,2026-01-29
M-01739,SS-N-016,NORTH,20.25,2026-01-05
M-00031,SS-W-021,WEST,317.17,2026-01-23
M-01039,SS-S-004,SOUTH,20.65,2026-01-26
M-01634,SS-N-009,NORTH,16.24,2026-01-11
M-00984,SS-E-010,EAST,13.29,2026-01-02
M-00798,SS-W-011,WEST,58.27,2026-01-13
M-00030,SS-E-016,EAST,12.97,2026-01-02
M-01261,SS-W-028,WEST,16.36,2026-01-27
M-00123,SS-S-012,SOUTH,83.86,2026-01-10
M-00460,SS-E-019,EAST,78.89,2026-01-03
M-01155,SS-E-019,EAST,12.02,2026-01-10
M-00099,SS-N-020,NORTH,22.7,2026-01-21
M-00299,SS-N-018,NORTH,78.04,2026-01-17
M-00099,SS-N-020,NORTH,18.04,2026-01-12
M-00030,SS-E-016,EAST,20.42,2026-01-03
M-00099,SS-N-020,NORTH,18.91,2026-01-21
M-00250,SS-E-027,EAST,10.69,2026-01-14
M-00172,SS-E-029,EAST,11.56,2026-01-07
M-01601,SS-N-015,NORTH,77.63,2026-01-04
M-00588,SS-E-020,EAST,18.77,2026-01-03
M-00470,SS-N-015,NORTH,16.97,2026-01-31
M-01198,SS-E-010,EAST,82.14,2026-01-10
M-00281,SS-E-015,EAST,16.58,2026-01-13
M-01358,SS-N-028,NORTH,484.81,2026-01-15
M-00064,SS-S-002,SOUTH,18.89,2026-01-16
M-00200,SS-S-011,SOUTH,16.81,2026-01-06
M-01904,SS-W-024,WEST,18.93,2026-01-18
M-00111,SS-E-009,EAST,13.02,2026-01-10
M-00030,SS-E-016,EAST,17.98,2026-01-20
M-00047,SS-E-017,EAST,376.32,2026-01-23
M-00182,SS-W-023,WEST,84.13,2026-01-16
M-00644,SS-E-010,EAST,84.27,2026-01-21
M-00363,SS-E-007,EAST,23.02,2026-01-22
M-00796,SS-S-014,SOUTH,97.28,2026-01-31
M-00047,SS-E-017,EAST,447.9,2026-01-19
M-00434,SS-E-018,EAST,395.92,2026-01-04
M-00198,SS-S-006,SOUTH,448.01,2026-01-23
M-00052,SS-E-008,EAST,19.3,2026-01-18
M-00123,SS-S-012,SOUTH,91.51,2026-01-19
M-00055,SS-S-016,SOUTH,18.64,2026-01-12
M-00283,SS-W-020,WEST,17.9,2026-01-21
M-00187,SS-N-025,NORTH,440.95,2026-01-14
M-01935,SS-W-015,WEST,20.5,2026-01-22
M-00026,SS-S-027,SOUTH,78.01,2026-01-26
M-00273,SS-E-010,EAST,13.93,2026-01-27
M-00052,SS-E-008,EAST,22.98,2026-01-09
M-01815,SS-W-030,WEST,60.7,2026-01-17
M-00047,SS-E-017,EAST,469.13,2026-01-15
M-00248,SS-S-024,SOUTH,18.49,2026-01-30
M-01680,SS-N-011,NORTH,14.38,2026-01-13
M-00715,SS-N-023,NORTH,16.69,2026-01-31
M-00923,SS-W-004,WEST,17.08,2026-01-18
M-01974,SS-E-019,EAST,15.58,2026-01-07
M-00158,SS-S-010,SOUTH,90.07,2026-01-07
M-01954,SS-W-015,WEST,20.1,2026-01-06
M-01394,SS-N-001,NORTH,95.88,2026-01-18
M-00721,SS-N-003,NORTH,12.93,2026-01-01
M-01778,SS-S-005,SOUTH,15.65,2026-01-04
M-00198,SS-S-006,SOUTH,433.06,2026-01-16
M-00047,SS-E-017,EAST,361.74,2026-01-12
M-00509,SS-W-024,WEST,21.56,2026-01-03
M-01945,SS-S-005,SOUTH,18.14,2026-01-16
M-01880,SS-N-017,NORTH,13.31,2026-01-14
M-00103,SS-E-027,EAST,14.85,2026-01-28
M-00055,SS-S-016,SOUTH,21.16,2026-01-18
M-00846,SS-S-020,SOUTH,20.42,2026-01-17
M-00306,SS-S-010,SOUTH,98.47,2026-01-27
M-00055,SS-S-016,SOUTH,17.34,2026-01-15
M-01237,SS-W-009,WEST,19.31,2026-01-26
M-00830,SS-E-024,EAST,15.69,2026-01-13
M-00055,SS-S-016,SOUTH,20.58,2026-01-04
M-00198,SS-S-006,SOUTH,307.06,2026-01-24
M-00708,SS-S-010,SOUTH,14.55,2026-01-24
M-01905,SS-E-007,EAST,19.71,2026-01-02
M-00198,SS-S-006,SOUTH,418.83,2026-01-05
M-00008,SS-E-001,EAST,458.09,2026-01-23
M-00709,SS-N-015,NORTH,18.93,2026-01-14
M-00099,SS-N-020,NORTH,21.74,2026-01-01
M-00488,SS-W-029,WEST,108.57,2026-01-08
M-00031,SS-W-021,WEST,473.48,2026-01-24
M-00055,SS-S-016,SOUTH,14.32,2026-01-20
M-00031,SS-W-021,WEST,353.79,2026-01-03
M-00071,SS-W-002,WEST,487.71,2026-01-09
M-00533,SS-W-014,WEST,17.7,2026-01-28
M-00404,SS-S-027,SOUTH,71.66,2026-01-18
M-01055,SS-N-014,NORTH,18.44,2026-01-12
M-00030,SS-E-016,EAST,17.76,2026-01-27
M-00434,SS-E-018,EAST,539.72,2026-01-23
M-00082,SS-N-001,NORTH,15.57,2026-01-21
M-00332,SS-W-005,WEST,434.1,2026-01-31
M-00416,SS-N-030,NORTH,82.15,2026-01-17
M-00103,SS-E-027,EAST,17.87,2026-01-12
M-00165,SS-W-005,WEST,18.21,2026-01-21
M-00223,SS-W-012,WEST,21.02,2026-01-01
M-01731,SS-N-010,NORTH,18.21,2026-01-09
M-00198,SS-S-006,SOUTH,396.47,2026-01-11
M-00030,SS-E-016,EAST,22.83,2026-01-14
M-00099,SS-N-020,NORTH,17.29,2026-01-15
M-00031,SS-W-021,WEST,544.31,2026-01-07
M-01598,SS-W-010,WEST,11.74,2026-01-22
M-00244,SS-E-015,EAST,19.1,2026-01-31
M-01615,SS-E-026,EAST,18.6,2026-01-22
M-01307,SS-E-019,EAST,14.63,2026-01-01
M-01671,SS-W-007,WEST,539.92,2026-01-10
M-01928,SS-W-025,WEST,503.29,2026-01-16
M-00517,SS-S-011,SOUTH,12.85,2026-01-15
M-00052,SS-E-008,EAST,13.51,2026-01-24
M-00072,SS-N-024,NORTH,15.0,2026-01-13
M-00052,SS-E-008,EAST,18.9,2026-01-05
M-01850,SS-S-024,SOUTH,93.17,2026-01-29
M-00123,SS-S-012,SOUTH,107.29,2026-01-13
M-00585,SS-W-020,WEST,17.31,2026-01-28
M-01212,SS-N-023,NORTH,16.28,2026-01-08
M-01086,SS-S-019,SOUTH,14.62,2026-01-01
M-00052,SS-E-008,EAST,21.99,2026-01-31
M-00294,SS-S-023,SOUTH,17.16,2026-01-11
M-00243,SS-E-024,EAST,19.14,2026-01-11
M-00031,SS-W-021,WEST,395.47,2026-01-01
M-00106,SS-E-004,EAST,11.62,2026-01-26
M-00116,SS-W-004,WEST,48.56,2026-01-16
M-00099,SS-N-020,NORTH,16.51,2026-01-07
M-01506,SS-N-030,NORTH,462.86,2026-01-06
M-00187,SS-N-025,NORTH,448.82,2026-01-17
M-01516,SS-E-006,EAST,10.79,2026-01-17
M-00419,SS-W-004,WEST,18.59,2026-01-23
M-01225,SS-S-009,SOUTH,392.59,2026-01-21
M-00008,SS-E-001,EAST,488.9,2026-01-11
M-00047,SS-E-017,EAST,263.53,2026-01-12
M-00031,SS-W-021,WEST,458.07,2026-01-18
M-00592,SS-E-026,EAST,65.96,2026-01-18
M-00705,SS-E-019,EAST,20.38,2026-01-11
M-01739,SS-N-016,NORTH,18.48,2026-01-23
M-00568,SS-E-012,EAST,18.69,2026-01-15
M-00052,SS-E-008,EAST,18.79,2026-01-11
M-00275,SS-N-030,NORTH,94.26,2026-01-30
M-00710,SS-E-007,EAST,91.19,2026-01-02
M-01038,SS-N-026,NORTH,115.86,2026-01-25
M-00187,SS-N-025,NORTH,423.07,2026-01-29
M-00187,SS-N-025,NORTH,387.15,2026-01-31
M-00796,SS-S-014,SOUTH,90.77,2026-01-31
M-00052,SS-E-008,EAST,22.99,2026-01-21
M-00849,SS-W-023,WEST,102.44,2026-01-03
M-01879,SS-N-016,NORTH,8.8,2026-01-08
M-00635,SS-E-010,EAST,15.52,2026-01-19
M-00052,SS-E-008,EAST,14.74,2026-01-08
M-00432,SS-W-027,WEST,22.1,2026-01-22
M-01843,SS-N-010,NORTH,19.11,2026-01-06
M-00825,SS-E-019,EAST,17.75,2026-01-20
M-01124,SS-N-009,NORTH,85.56,2026-01-22
M-00034,SS-E-014,EAST,77.6,2026-01-02
M-00008,SS-E-001,EAST,437.21,2026-01-19
M-01244,SS-W-022,WEST,455.6,2026-01-14
M-00099,SS-N-020,NORTH,14.92,2026-01-04
M-00273,SS-E-010,EAST,15.5,2026-01-17
M-01611,SS-E-020,EAST,107.69,2026-01-27
M-01692,SS-W-003,WEST,399.52,2026-01-04
M-00252,SS-S-023,SOUTH,19.24,2026-01-26
M-01001,SS-S-011,SOUTH,21.61,2026-01-22
M-00198,SS-S-006,SOUTH,491.98,2026-01-17
M-00099,SS-N-020,NORTH,18.64,2026-01-10
M-00047,SS-E-017,EAST,367.11,2026-01-21
M-00047,SS-E-017,EAST,383.95,2026-01-15
M-00546,SS-N-021,NORTH,361.48,2026-01-12
M-01972,SS-N-023,NORTH,16.28,2026-01-07
M-00187,SS-N-025,NORTH,417.34,2026-01-22
M-00187,SS-N-025,NORTH,429.13,2026-01-21
M-01347,SS-S-027,SOUTH,94.06,2026-01-15
M-01030,SS-N-004,NORTH,19.19,2026-01-02
M-00008,SS-E-001,EAST,509.73,2026-01-28
M-01413,SS-S-001,SOUTH,13.99,2026-01-10
M-01436,SS-S-022,SOUTH,10.36,2026-01-03
M-00099,SS-N-020,NORTH,18.18,2026-01-21
M-01972,SS-N-023,NORTH,18.8,2026-01-19
M-00518,SS-W-005,WEST,18.58,2026-01-13
M-00031,SS-W-021,WEST,429.67,2026-01-23
M-00111,SS-E-009,EAST,16.01,2026-01-22
M-01478,SS-S-014,SOUTH,418.94,2026-01-04
M-00938,SS-S-014,SOUTH,18.74,2026-01-27
M-00031,SS-W-021,WEST,363.72,2026-01-04
M-00424,SS-E-020,EAST,12.53,2026-01-23
M-01029,SS-W-003,WEST,364.09,2026-01-04
M-00111,SS-E-009,EAST,17.59,2026-01-18
M-01856,SS-N-006,NORTH,66.37,2026-01-15
M-00052,SS-E-008,EAST,23.41,2026-01-17
M-01212,SS-N-023,NORTH,14.85,2026-01-03
M-00592,SS-E-026,EAST,77.62,2026-01-26
M-00187,SS-N-025,NORTH,411.99,2026-01-27
M-00055,SS-S-016,SOUTH,19.67,2026-01-16
M-00198,SS-S-006,SOUTH,503.7,2026-01-18
M-00008,SS-E-001,EAST,395.63,2026-01-28
M-00985,SS-E-028,EAST,94.96,2026-01-13
M-00024,SS-S-013,SOUTH,18.72,2026-01-30
M-00111,SS-E-009,EAST,20.89,2026-01-20
M-00031,SS-W-021,WEST,490.5,2026-01-02
M-00123,SS-S-012,SOUTH,84.16,2026-01-10
M-00187,SS-N-025,NORTH,412.64,2026-01-21
M-00198,SS-S-006,SOUTH,429.04,2026-01-27
M-01524,SS-E-005,EAST,475.39,2026-01-25
M-01284,SS-W-022,WEST,105.47,2026-01-28
M-01184,SS-W-029,WEST,11.84,2026-01-10
M-01687,SS-W-015,WEST,102.18,2026-01-11
M-00047,SS-E-017,EAST,357.95,2026-01-09
M-00052,SS-E-008,EAST,18.79,2026-01-07
M-00957,SS-W-005,WEST,17.01,2026-01-02
M-00850,SS-S-027,SOUTH,20.83,2026-01-29
M-00008,SS-E-001,EAST,388.58,2026-01-14
M-00111,SS-E-009,EAST,17.23,2026-01-02
M-01444,SS-W-026,WEST,18.69,2026-01-27
M-00434,SS-E-018,EAST,499.42,2026-01-02
M-00635,SS-E-010,EAST,16.1,2026-01-08
M-00047,SS-E-017,EAST,389.12,2026-01-16
M-00099,SS-N-020,NORTH,19.86,2026-01-16
M-00031,SS-W-021,WEST,454.92,2026-01-13
M-00598,SS-E-019,EAST,13.13,2026-01-27
M-00187,SS-N-025,NORTH,510.13,2026-01-21
M-01843,SS-N-010,NORTH,15.65,2026-01-06
M-00055,SS-S-016,SOUTH,20.91,2026-01-25
M-00099,SS-N-020,NORTH,19.95,2026-01-18
M-00099,SS-N-020,NORTH,15.6,2026-01-28
M-00967,SS-N-008,NORTH,94.51,2026-01-31
M-00123,SS-S-012,SOUTH,87.15,2026-01-25
M-00187,SS-N-025,NORTH,433.47,2026-01-10
M-01162,SS-S-028,SOUTH,14.71,2026-01-10
M-00810,SS-S-028,SOUTH,18.15,2026-01-10
M-01699,SS-N-008,NORTH,20.25,2026-01-19
M-01119,SS-W-018,WEST,86.74,2026-01-30
M-00680,SS-E-020,EAST,16.95,2026-01-17
M-00030,SS-E-016,EAST,19.08,2026-01-20
M-00055,SS-S-016,SOUTH,18.53,2026-01-17
M-00111,SS-E-009,EAST,15.56,2026-01-26
M-00401,SS-N-011,NORTH,21.08,2026-01-26
M-00030,SS-E-016,EAST,18.43,2026-01-15
M-00319,SS-W-015,WEST,463.42,2026-01-14
M-00187,SS-N-025,NORTH,486.37,2026-01-16
M-00030,SS-E-016,EAST,13.89,2026-01-26
M-00031,SS-W-021,WEST,427.28,2026-01-30
M-01938,SS-S-004,SOUTH,69.24,2026-01-21
M-00008,SS-E-001,EAST,484.45,2026-01-23
M-00498,SS-N-026,NORTH,19.31,2026-01-18
M-00047,SS-E-017,EAST,454.32,2026-01-09
M-00434,SS-E-018,EAST,409.54,2026-01-30
M-00123,SS-S-012,SOUTH,76.12,2026-01-09
M-00198,SS-S-006,SOUTH,414.56,2026-01-17
M-00030,SS-E-016,EAST,18.83,2026-01-09
M-00930,SS-S-011,SOUTH,15.41,2026-01-20
M-00052,SS-E-008,EAST,19.96,2026-01-16
M-01030,SS-N-004,NORTH,15.94,2026-01-29
M-01986,SS-E-004,EAST,98.49,2026-01-04
M-01559,SS-S-014,SOUTH,75.89,2026-01-23
M-00085,SS-W-010,WEST,21.27,2026-01-17
M-00759,SS-W-007,WEST,16.95,2026-01-11
M-00812,SS-N-007,NORTH,20.29,2026-01-11
M-01597,SS-W-018,WEST,22.77,2026-01-06
M-00938,SS-S-014,SOUTH,15.07,2026-01-21
M-00507,SS-E-002,EAST,69.97,2026-01-15
M-00131,SS-N-002,NORTH,14.97,2026-01-28
M-00111,SS-E-009,EAST,14.99,2026-01-08
M-01466,SS-W-027,WEST,12.48,2026-01-17
M-00434,SS-E-018,EAST,365.37,2026-01-04
M-00099,SS-N-020,NORTH,17.62,2026-01-14
M-00008,SS-E-001,EAST,519.37,2026-01-19
M-01901,SS-N-027,NORTH,15.21,2026-01-19
M-00187,SS-N-025,NORTH,456.83,2026-01-03
M-00123,SS-S-012,SOUTH,95.84,2026-01-07
M-00099,SS-N-020,NORTH,16.57,2026-01-25
M-01244,SS-W-022,WEST,423.43,2026-01-01
M-00854,SS-N-003,NORTH,84.25,2026-01-06
M-00123,SS-S-012,SOUTH,67.3,2026-01-12
M-00125,SS-S-008,SOUTH,13.12,2026-01-19
M-00698,SS-S-018,SOUTH,16.96,2026-01-13
M-00030,SS-E-016,EAST,17.25,2026-01-01
M-01503,SS-E-029,EAST,14.03,2026-01-05
M-00047,SS-E-017,EAST,477.21,2026-01-22
M-00123,SS-S-012,SOUTH,86.47,2026-01-07
M-01527,SS-N-021,NORTH,473.42,2026-01-11
M-00055,SS-S-016,SOUTH,18.69,2026-01-10
M-00335,SS-N-028,NORTH,437.8,2026-01-01
M-00099,SS-N-020,NORTH,15.02,2026-01-14
M-00123,SS-S-012,SOUTH,89.51,2026-01-15
M-00052,SS-E-008,EAST,17.98,2026-01-03
M-01939,SS-N-015,NORTH,15.86,2026-01-10
M-00111,SS-E-009,EAST,18.08,2026-01-19
M-00027,SS-N-002,NORTH,17.17,2026-01-09
M-00660,SS-W-016,WEST,361.87,2026-01-22
M-00187,SS-N-025,NORTH,441.27,2026-01-27
M-00713,SS-S-022,SOUTH,19.95,2026-01-23
M-00055,SS-S-016,SOUTH,23.2,2026-01-26
M-01220,SS-S-025,SOUTH,19.42,2026-01-16
M-01166,SS-W-011,WEST,99.63,2026-01-01
M-01987,SS-E-024,EAST,18.34,2026-01-15
M-00257,SS-E-002,EAST,16.67,2026-01-31
M-00434,SS-E-018,EAST,338.36,2026-01-04
M-00030,SS-E-016,EAST,17.01,2026-01-11
M-01974,SS-E-019,EAST,21.01,2026-01-28
M-00047,SS-E-017,EAST,357.53,2026-01-21
M-00052,SS-E-008,EAST,15.92,2026-01-04
M-01703,SS-W-001,WEST,14.18,2026-01-10
M-00475,SS-W-030,WEST,413.79,2026-01-16
M-00030,SS-E-016,EAST,22.51,2026-01-29
M-00807,SS-W-003,WEST,383.72,2026-01-07
M-01367,SS-W-013,WEST,15.68,2026-01-07
M-00111,SS-E-009,EAST,15.35,2026-01-14
M-00055,SS-S-016,SOUTH,19.28,2026-01-22
M-00123,SS-S-012,SOUTH,89.14,2026-01-15
M-00899,SS-W-011,WEST,390.45,2026-01-26
M-00522,SS-S-005,SOUTH,96.62,2026-01-01
M-01994,SS-W-002,WEST,11.19,2026-01-20
M-00008,SS-E-001,EAST,294.32,2026-01-19
M-01945,SS-S-005,SOUTH,16.06,2026-01-23
M-00123,SS-S-012,SOUTH,85.71,2026-01-27
M-00170,SS-N-026,NORTH,18.82,2026-01-22
M-01141,SS-E-026,EAST,14.5,2026-01-14
M-00099,SS-N-020,NORTH,18.12,2026-01-19
M-00239,SS-W-001,WEST,18.26,2026-01-11
M-00008,SS-E-001,EAST,372.62,2026-01-03
M-00404,SS-S-027,SOUTH,93.15,2026-01-24
M-00099,SS-N-020,NORTH,13.78,2026-01-25
M-00198,SS-S-006,SOUTH,475.29,2026-01-10
M-00498,SS-N-026,NORTH,20.17,2026-01-17
M-00055,SS-S-016,SOUTH,10.99,2026-01-23
M-00761,SS-W-015,WEST,476.87,2026-01-08
M-00123,SS-S-012,SOUTH,85.44,2026-01-27
M-00434,SS-E-018,EAST,431.32,2026-01-07
M-00198,SS-S-006,SOUTH,510.82,2026-01-02
M-00047,SS-E-017,EAST,494.27,2026-01-12
M-00031,SS-W-021,WEST,514.19,2026-01-30
M-00030,SS-E-016,EAST,19.96,2026-01-22
M-00099,SS-N-020,NORTH,20.37,2026-01-03
M-00099,SS-N-020,NORTH,20.18,2026-01-08
M-00434,SS-E-018,EAST,425.8,2026-01-24
M-00111,SS-E-009,EAST,17.63,2026-01-03
M-01228,SS-W-028,WEST,84.08,2026-01-08
M-01200,SS-W-012,WEST,16.3,2026-01-16
M-00319,SS-W-015,WEST,454.07,2026-01-01
M-00287,SS-N-022,NORTH,10.98,2026-01-19
M-00052,SS-E-008,EAST,25.34,2026-01-14
M-00099,SS-N-020,NORTH,13.74,2026-01-24
M-00198,SS-S-006,SOUTH,473.32,2026-01-22
M-00052,SS-E-008,EAST,14.21,2026-01-16
M-00926,SS-W-019,WEST,85.51,2026-01-11
M-00031,SS-W-021,WEST,331.55,2026-01-09
M-00099,SS-N-020,NORTH,22.05,2026-01-02
M-00900,SS-W-027,WEST,21.66,2026-01-20
M-01672,SS-S-024,SOUTH,368.55,2026-01-02
M-00031,SS-W-021,WEST,385.37,2026-01-25
M-00109,SS-E-007,EAST,15.77,2026-01-15
M-01022,SS-N-012,NORTH,19.67,2026-01-24
M-00434,SS-E-018,EAST,462.06,2026-01-29
M-00898,SS-N-011,NORTH,12.76,2026-01-14
M-01869,SS-S-022,SOUTH,74.56,2026-01-14
M-00030,SS-E-016,EAST,14.92,2026-01-12
M-00123,SS-S-012,SOUTH,82.3,2026-01-31
M-01287,SS-W-024,WEST,19.83,2026-01-13
M-00157,SS-S-026,SOUTH,15.9,2026-01-03
M-00198,SS-S-006,SOUTH,442.28,2026-01-14
M-01933,SS-N-019,NORTH,21.65,2026-01-29
M-01951,SS-N-028,NORTH,14.8,2026-01-15
M-00830,SS-E-024,EAST,16.84,2026-01-21
M-00187,SS-N-025,NORTH,448.62,2026-01-02
M-00593,SS-N-021,NORTH,16.43,2026-01-19
M-00030,SS-E-016,EAST,15.86,2026-01-02
M-01510,SS-W-012,WEST,9.76,2026-01-08
M-00187,SS-N-025,NORTH,430.46,2026-01-17
M-00785,SS-N-015,NORTH,100.24,2026-01-13
M-01724,SS-E-029,EAST,23.06,2026-01-21
M-01119,SS-W-018,WEST,91.35,2026-01-11
M-01315,SS-N-014,NORTH,14.26,2026-01-13
M-00377,SS-E-013,EAST,20.37,2026-01-21
M-00008,SS-E-001,EAST,435.47,2026-01-15
M-01707,SS-W-008,WEST,17.84,2026-01-24
M-00179,SS-W-010,WEST,21.35,2026-01-06
