meter_id,daily_kw,date,region,customer_type,substation_id,is_valid,tier
M-00034,2744.3,2026-03-15,EAST_COAST,commercial,SUB-010,true,high
M-00035,3415.6,2026-03-19,NORTH,residential,SUB-031,true,high
M-00036,3337.4,2026-03-13,NORTH_COAST,commercial,SUB-015,true,high
M-00037,3091.4,2026-03-15,NORTH_COAST,commercial,SUB-013,true,high
M-00038,923.4,2026-03-14,EAST_COAST,industrial,SUB-029,true,medium
M-00039,3128.3,2026-03-10,NORTH,commercial,SUB-019,true,high
M-00040,4335.3,2026-03-12,NORTH_COAST,residential,SUB-026,true,critical
M-00041,1389.3,2026-03-10,NORTH,commercial,SUB-026,true,medium
M-00042,395.4,2026-03-19,NORTH_COAST,residential,SUB-037,true,low
M-00043,4045.7,2026-03-20,NORTH_COAST,industrial,SUB-017,true,critical
M-00044,819.7,2026-03-15,SOUTH,residential,SUB-014,true,medium
M-00045,3912.9,2026-03-21,NORTH_COAST,residential,SUB-016,true,high
M-00046,146.4,2026-03-23,NORTH_COAST,residential,SUB-029,true,low
M-00047,2469.1,2026-03-13,SOUTH_INLAND,residential,SUB-014,true,high
M-00048,3031.3,2026-03-18,WEST,industrial,SUB-016,true,high
M-00049,1675.6,2026-03-13,NORTH_COAST,residential,SUB-029,true,medium
M-00050,1745.1,2026-03-22,SOUTH,residential,SUB-025,true,medium
M-00051,2427.8,2026-03-18,SOUTH,residential,SUB-006,true,high
M-00052,3610.3,2026-03-21,NORTH_COAST,commercial,SUB-015,true,high
M-00053,3011.4,2026-03-23,WEST_INLAND,residential,SUB-003,true,high
M-00054,2651.0,2026-03-16,EAST,residential,SUB-001,true,high
M-00055,4403.1,2026-03-11,WEST,residential,SUB-005,true,critical
M-00056,3403.0,2026-03-22,EAST,residential,SUB-022,true,high
M-00057,4035.3,2026-03-13,NORTH_INLAND,commercial,SUB-024,true,critical
M-00058,3252.3,2026-03-21,WEST,residential,SUB-022,true,high
M-00059,2376.3,2026-03-23,NORTH_INLAND,residential,SUB-010,true,high
M-00060,3944.9,2026-03-20,NORTH_COAST,residential,SUB-033,true,high
M-00061,684.2,2026-03-11,NORTH_COAST,industrial,SUB-016,true,medium
M-00062,2248.8,2026-03-23,WEST,commercial,SUB-017,true,high
M-00063,3052.0,2026-03-14,SOUTH_COAST,residential,SUB-002,true,high
M-00064,4022.8,2026-03-15,NORTH_COAST,commercial,SUB-023,true,critical
M-00065,2020.2,2026-03-10,NORTH_COAST,industrial,SUB-038,true,high
M-00066,4447.8,2026-03-16,WEST,residential,SUB-016,true,critical
M-00067,1777.3,2026-03-12,EAST_INLAND,residential,SUB-034,true,medium
M-00068,3735.0,2026-03-22,WEST,residential,SUB-003,true,high
M-00069,1910.1,2026-03-14,SOUTH,residential,SUB-023,true,medium
M-00070,2369.3,2026-03-13,NORTH_COAST,commercial,SUB-005,true,high
M-00071,3886.4,2026-03-15,EAST_INLAND,residential,SUB-005,true,high
M-00072,2932.5,2026-03-14,NORTH,industrial,SUB-019,true,high
M-00073,973.6,2026-03-18,WEST,commercial,SUB-027,true,medium
M-00074,76.9,2026-03-14,EAST_INLAND,commercial,SUB-027,true,low
M-00075,413.9,2026-03-13,NORTH_COAST,commercial,SUB-001,true,low
M-00076,3547.9,2026-03-16,NORTH_INLAND,residential,SUB-026,true,high
M-00077,4322.7,2026-03-20,EAST,industrial,SUB-023,true,critical
M-00078,1703.1,2026-03-12,WEST_INLAND,residential,SUB-017,true,medium
M-00079,2631.3,2026-03-13,SOUTH,commercial,SUB-038,true,high
M-00080,896.1,2026-03-16,WEST,residential,SUB-009,true,medium
M-00081,2030.7,2026-03-11,EAST_COAST,commercial,SUB-029,true,high
M-00082,2486.0,2026-03-17,EAST_INLAND,residential,SUB-016,true,high
M-00083,1640.9,2026-03-10,EAST,residential,SUB-003,true,medium
M-00084,2829.9,2026-03-16,SOUTH,residential,SUB-020,true,high
M-00085,1968.8,2026-03-17,NORTH_COAST,residential,SUB-033,true,medium
M-00086,573.3,2026-03-16,NORTH_COAST,residential,SUB-018,true,medium
M-00087,2086.4,2026-03-16,NORTH_COAST,residential,SUB-023,true,high
M-00088,3434.2,2026-03-12,EAST_INLAND,commercial,SUB-027,true,high
M-00089,3148.7,2026-03-15,WEST,residential,SUB-038,true,high
M-00090,3549.0,2026-03-19,NORTH_COAST,residential,SUB-032,true,high
M-00091,3525.0,2026-03-10,NORTH_COAST,industrial,SUB-014,true,high
M-00092,4444.0,2026-03-16,NORTH_COAST,commercial,SUB-026,true,critical
M-00093,2565.0,2026-03-12,NORTH_COAST,residential,SUB-039,true,high
M-00094,2606.1,2026-03-19,NORTH_COAST,residential,SUB-009,true,high
M-00095,1794.6,2026-03-17,NORTH_INLAND,commercial,SUB-004,true,medium
M-00096,3014.0,2026-03-17,NORTH_COAST,industrial,SUB-002,true,high
M-00097,1822.8,2026-03-21,NORTH_INLAND,industrial,SUB-006,true,medium
M-00098,3745.8,2026-03-16,WEST,commercial,SUB-007,true,high
M-00099,2898.2,2026-03-18,SOUTH,commercial,SUB-039,true,high
M-00100,2233.8,2026-03-10,SOUTH,residential,SUB-037,true,high
M-00101,2038.0,2026-03-12,NORTH_COAST,commercial,SUB-032,true,high
M-00102,1897.6,2026-03-23,NORTH_COAST,industrial,SUB-030,true,medium
M-00103,1476.1,2026-03-19,NORTH_COAST,residential,SUB-015,true,medium
M-00104,1217.6,2026-03-13,NORTH_COAST,residential,SUB-011,true,medium
M-00105,842.8,2026-03-16,WEST_COAST,residential,SUB-040,true,medium
M-00106,368.1,2026-03-16,NORTH_COAST,residential,SUB-015,true,low
M-00107,482.1,2026-03-23,EAST,residential,SUB-022,true,low
M-00108,3492.3,2026-03-18,NORTH_COAST,residential,SUB-019,true,high
M-00109,2704.2,2026-03-13,SOUTH,residential,SUB-003,true,high
M-00110,806.8,2026-03-18,WEST,residential,SUB-013,true,medium
M-00111,122.8,2026-03-16,SOUTH,residential,SUB-028,true,low
M-00112,2516.5,2026-03-22,NORTH_INLAND,residential,SUB-025,true,high
M-00113,2789.0,2026-03-14,EAST,residential,SUB-030,true,high
M-00114,297.5,2026-03-23,NORTH_COAST,commercial,SUB-036,true,low
M-00115,1390.2,2026-03-22,SOUTH_COAST,industrial,SUB-031,true,medium
M-00116,3265.2,2026-03-13,NORTH_COAST,commercial,SUB-036,true,high
M-00117,393.5,2026-03-11,NORTH,commercial,SUB-040,true,low
M-00118,1251.6,2026-03-17,NORTH,residential,SUB-018,true,medium
M-00119,383.9,2026-03-16,NORTH_COAST,industrial,SUB-015,true,low
M-00120,2885.2,2026-03-13,EAST,residential,SUB-029,true,high
M-00121,4281.9,2026-03-18,EAST,commercial,SUB-012,true,critical
M-00122,552.3,2026-03-15,NORTH,residential,SUB-025,true,medium
M-00123,1077.3,2026-03-13,SOUTH,residential,SUB-004,true,medium
M-00124,3897.7,2026-03-15,NORTH_COAST,industrial,SUB-033,true,high
M-00125,1749.0,2026-03-22,NORTH_COAST,residential,SUB-016,true,medium
M-00126,2367.5,2026-03-22,NORTH_COAST,residential,SUB-032,true,high
M-00127,150.9,2026-03-11,NORTH_COAST,residential,SUB-024,true,low
M-00128,3365.6,2026-03-16,WEST,residential,SUB-039,true,high
M-00129,2209.9,2026-03-22,NORTH,residential,SUB-001,true,high
M-00130,4153.0,2026-03-22,WEST_INLAND,commercial,SUB-015,true,critical
M-00131,1312.1,2026-03-14,NORTH_COAST,residential,SUB-018,true,medium
M-00132,1184.0,2026-03-21,WEST,residential,SUB-007,true,medium
M-00133,4265.2,2026-03-17,NORTH_COAST,commercial,SUB-023,true,critical
M-00134,1877.9,2026-03-23,NORTH_COAST,industrial,SUB-040,true,medium
M-00135,2452.5,2026-03-11,NORTH_COAST,industrial,SUB-012,true,high
M-00136,1487.8,2026-03-18,SOUTH,residential,SUB-022,true,medium
M-00137,2744.8,2026-03-20,EAST_COAST,residential,SUB-037,true,high
M-00138,2045.4,2026-03-11,SOUTH,industrial,SUB-003,true,high
M-00139,1003.2,2026-03-20,WEST_INLAND,commercial,SUB-034,true,medium
M-00140,274.0,2026-03-19,NORTH_COAST,commercial,SUB-008,true,low
M-00141,2844.4,2026-03-23,SOUTH,commercial,SUB-009,true,high
M-00142,406.2,2026-03-14,EAST_COAST,industrial,SUB-030,true,low
M-00143,3060.0,2026-03-21,NORTH_COAST,commercial,SUB-002,true,high
M-00144,3474.4,2026-03-22,SOUTH,commercial,SUB-020,true,high
M-00145,1499.7,2026-03-15,EAST,commercial,SUB-003,true,medium
M-00146,2019.7,2026-03-12,EAST,residential,SUB-009,true,high
M-00147,2902.7,2026-03-15,EAST,residential,SUB-002,true,high
M-00148,4343.8,2026-03-19,SOUTH,residential,SUB-015,true,critical
M-00149,1611.6,2026-03-21,NORTH_COAST,commercial,SUB-019,true,medium
M-00150,3334.2,2026-03-12,WEST,commercial,SUB-003,true,high
M-00151,965.7,2026-03-14,SOUTH_INLAND,residential,SUB-020,true,medium
M-00152,1112.1,2026-03-11,NORTH_COAST,commercial,SUB-037,true,medium
M-00153,1109.3,2026-03-16,NORTH_COAST,commercial,SUB-025,true,medium
M-00154,2488.6,2026-03-16,SOUTH_INLAND,industrial,SUB-034,true,high
M-00155,3584.4,2026-03-17,NORTH_COAST,commercial,SUB-007,true,high
M-00156,2762.3,2026-03-10,SOUTH,industrial,SUB-023,true,high
M-00157,2588.4,2026-03-11,NORTH_COAST,commercial,SUB-032,true,high
M-00158,2497.4,2026-03-11,SOUTH_INLAND,commercial,SUB-018,true,high
M-00159,654.1,2026-03-16,NORTH_COAST,residential,SUB-027,true,medium
M-00160,1503.2,2026-03-13,NORTH_COAST,residential,SUB-004,true,medium
M-00161,493.1,2026-03-21,EAST,commercial,SUB-031,true,low
M-00162,3422.7,2026-03-18,SOUTH_COAST,commercial,SUB-036,true,high
M-00163,4007.2,2026-03-12,WEST,commercial,SUB-039,true,critical
M-00164,1229.7,2026-03-12,NORTH_COAST,residential,SUB-002,true,medium
M-00165,1993.7,2026-03-15,NORTH_COAST,commercial,SUB-035,true,medium
M-00166,3640.0,2026-03-16,NORTH_COAST,industrial,SUB-012,true,high
M-00167,94.0,2026-03-15,NORTH_COAST,residential,SUB-021,true,low
M-00168,2522.6,2026-03-15,NORTH_COAST,residential,SUB-027,true,high
M-00169,1264.9,2026-03-21,EAST,residential,SUB-015,true,medium
M-00170,3563.8,2026-03-15,NORTH_COAST,residential,SUB-013,true,high
M-00171,3843.9,2026-03-20,EAST_COAST,commercial,SUB-032,true,high
M-00172,72.2,2026-03-21,NORTH_COAST,residential,SUB-032,true,low
M-00173,1585.8,2026-03-16,EAST_INLAND,residential,SUB-019,true,medium
M-00174,737.4,2026-03-21,WEST_INLAND,residential,SUB-007,true,medium
M-00175,492.6,2026-03-18,NORTH_COAST,residential,SUB-028,true,low
M-00176,4337.2,2026-03-15,NORTH_COAST,residential,SUB-016,true,critical
M-00177,708.6,2026-03-22,NORTH_COAST,residential,SUB-040,true,medium
M-00178,3319.2,2026-03-14,NORTH_COAST,industrial,SUB-023,true,high
M-00179,3992.7,2026-03-20,WEST_INLAND,residential,SUB-008,true,high
M-00180,835.2,2026-03-12,NORTH_COAST,residential,SUB-005,true,medium
M-00181,4103.9,2026-03-14,NORTH_COAST,residential,SUB-008,true,critical
M-00182,2801.7,2026-03-10,NORTH_COAST,residential,SUB-038,true,high
M-00183,3019.2,2026-03-23,NORTH_COAST,residential,SUB-009,true,high
M-00184,3938.6,2026-03-18,SOUTH,residential,SUB-038,true,high
M-00185,1032.5,2026-03-22,NORTH_COAST,residential,SUB-029,true,medium
M-00186,2896.8,2026-03-12,NORTH_COAST,residential,SUB-003,true,high
M-00187,4257.9,2026-03-10,SOUTH,residential,SUB-024,true,critical
M-00188,2304.1,2026-03-18,WEST,commercial,SUB-030,true,high
M-00189,3819.9,2026-03-20,SOUTH,residential,SUB-017,true,high
M-00190,2085.7,2026-03-17,SOUTH,residential,SUB-027,true,high
M-00191,116.2,2026-03-19,NORTH_COAST,residential,SUB-027,true,low
M-00192,1721.0,2026-03-21,NORTH_COAST,commercial,SUB-026,true,medium
M-00193,3391.2,2026-03-10,NORTH_INLAND,residential,SUB-009,true,high
M-00194,289.6,2026-03-18,NORTH_COAST,commercial,SUB-032,true,low
M-00195,2276.2,2026-03-19,NORTH_COAST,residential,SUB-034,true,high
M-00196,782.1,2026-03-18,NORTH_COAST,residential,SUB-011,true,medium
M-00197,1879.9,2026-03-16,NORTH_COAST,residential,SUB-023,true,medium
M-00198,2634.1,2026-03-10,NORTH_COAST,residential,SUB-028,true,high
M-00199,3119.8,2026-03-12,NORTH_INLAND,residential,SUB-019,true,high
M-00200,1425.5,2026-03-21,NORTH_COAST,commercial,SUB-013,true,medium
M-00201,4098.7,2026-03-12,WEST_INLAND,industrial,SUB-034,true,critical
M-00202,3539.9,2026-03-10,NORTH_COAST,commercial,SUB-007,true,high
M-00203,3873.3,2026-03-12,WEST,residential,SUB-025,true,high
M-00204,708.0,2026-03-10,NORTH_COAST,residential,SUB-031,true,medium
M-00205,3528.5,2026-03-16,WEST_INLAND,industrial,SUB-015,true,high
M-00206,184.3,2026-03-14,NORTH_COAST,residential,SUB-035,true,low
M-00207,410.9,2026-03-17,SOUTH_COAST,residential,SUB-040,true,low
M-00208,2882.1,2026-03-15,NORTH_COAST,residential,SUB-030,true,high
M-00209,2678.5,2026-03-20,NORTH,commercial,SUB-003,true,high
M-00210,4286.1,2026-03-16,NORTH_COAST,residential,SUB-001,true,critical
M-00211,1651.4,2026-03-23,WEST,residential,SUB-012,true,medium
M-00212,88.6,2026-03-19,NORTH_COAST,residential,SUB-034,true,low
M-00213,384.3,2026-03-23,NORTH_COAST,industrial,SUB-005,true,low
M-00214,2193.8,2026-03-11,NORTH_COAST,commercial,SUB-002,true,high
M-00215,868.7,2026-03-22,EAST,residential,SUB-005,true,medium
M-00216,359.5,2026-03-22,NORTH_COAST,residential,SUB-031,true,low
M-00217,2755.1,2026-03-17,NORTH_COAST,residential,SUB-040,true,high
M-00218,3006.2,2026-03-22,SOUTH,industrial,SUB-028,true,high
M-00219,3681.5,2026-03-13,NORTH,industrial,SUB-023,true,high
M-00220,2645.5,2026-03-10,WEST,residential,SUB-027,true,high
M-00221,64.9,2026-03-22,EAST_INLAND,residential,SUB-022,true,low
M-00222,3208.7,2026-03-15,EAST_INLAND,commercial,SUB-005,true,high
M-00223,1707.9,2026-03-14,NORTH_COAST,residential,SUB-029,true,medium
M-00224,2390.3,2026-03-18,SOUTH,commercial,SUB-035,true,high
M-00225,238.2,2026-03-19,NORTH,industrial,SUB-022,true,low
M-00226,3263.2,2026-03-22,WEST_COAST,residential,SUB-017,true,high
M-00227,251.4,2026-03-21,SOUTH_INLAND,commercial,SUB-023,true,low
M-00228,2084.1,2026-03-12,NORTH,commercial,SUB-031,true,high
M-00229,2967.2,2026-03-17,NORTH,residential,SUB-039,true,high
M-00230,3731.5,2026-03-12,NORTH,commercial,SUB-021,true,high
M-00231,3219.5,2026-03-12,NORTH_COAST,residential,SUB-030,true,high
M-00232,1959.9,2026-03-16,NORTH,commercial,SUB-030,true,medium
M-00233,3975.6,2026-03-14,NORTH_COAST,commercial,SUB-029,true,high
M-00234,2187.9,2026-03-18,SOUTH_INLAND,residential,SUB-032,true,high
M-00235,2786.5,2026-03-20,NORTH_INLAND,residential,SUB-019,true,high
M-00236,1740.4,2026-03-13,NORTH_COAST,residential,SUB-036,true,medium
M-00237,2228.3,2026-03-14,NORTH_COAST,commercial,SUB-011,true,high
M-00238,2644.3,2026-03-20,NORTH_INLAND,residential,SUB-014,true,high
M-00239,2586.1,2026-03-21,NORTH_COAST,residential,SUB-012,true,high
M-00240,4378.4,2026-03-21,NORTH_COAST,residential,SUB-009,true,critical
M-00241,3166.8,2026-03-14,NORTH_COAST,residential,SUB-018,true,high
M-00242,758.6,2026-03-15,NORTH_COAST,residential,SUB-017,true,medium
M-00243,3655.5,2026-03-18,NORTH,residential,SUB-035,true,high
M-00244,2494.0,2026-03-22,SOUTH_COAST,commercial,SUB-040,true,high
M-00245,2883.2,2026-03-18,NORTH_COAST,residential,SUB-022,true,high
M-00246,4338.3,2026-03-22,NORTH_INLAND,commercial,SUB-014,true,critical
M-00247,78.3,2026-03-23,NORTH,commercial,SUB-027,true,low
M-00248,2844.4,2026-03-13,NORTH_COAST,commercial,SUB-034,true,high
M-00249,1442.1,2026-03-22,NORTH_COAST,residential,SUB-011,true,medium
M-00250,219.3,2026-03-21,NORTH,residential,SUB-020,true,low
M-00251,4206.1,2026-03-17,SOUTH_INLAND,residential,SUB-024,true,critical
M-00252,1598.8,2026-03-13,WEST_INLAND,residential,SUB-022,true,medium
M-00253,1248.2,2026-03-22,EAST_INLAND,residential,SUB-018,true,medium
M-00254,1575.4,2026-03-14,SOUTH_COAST,residential,SUB-037,true,medium
M-00255,367.8,2026-03-12,SOUTH_COAST,commercial,SUB-024,true,low
M-00256,1231.9,2026-03-10,WEST,residential,SUB-002,true,medium
M-00257,2810.7,2026-03-12,WEST_INLAND,residential,SUB-009,true,high
M-00258,699.0,2026-03-10,NORTH,industrial,SUB-001,true,medium
M-00259,3786.7,2026-03-16,NORTH_COAST,commercial,SUB-010,true,high
M-00260,97.1,2026-03-18,NORTH_COAST,residential,SUB-008,true,low
M-00261,1067.9,2026-03-15,NORTH_COAST,commercial,SUB-023,true,medium
M-00262,2579.2,2026-03-15,EAST,residential,SUB-016,true,high
M-00263,2390.2,2026-03-21,NORTH_COAST,residential,SUB-031,true,high
M-00264,3896.7,2026-03-15,NORTH_COAST,residential,SUB-009,true,high
M-00265,630.9,2026-03-20,NORTH_INLAND,residential,SUB-011,true,medium
M-00266,3427.4,2026-03-22,SOUTH,residential,SUB-026,true,high
M-00267,4031.7,2026-03-18,EAST,industrial,SUB-026,true,critical
M-00268,2462.9,2026-03-23,NORTH_COAST,commercial,SUB-017,true,high
M-00269,3568.0,2026-03-20,NORTH_INLAND,residential,SUB-021,true,high
M-00270,1456.6,2026-03-20,SOUTH,residential,SUB-029,true,medium
M-00271,1075.4,2026-03-15,NORTH_COAST,residential,SUB-040,true,medium
M-00272,2886.6,2026-03-16,NORTH_COAST,residential,SUB-002,true,high
M-00273,877.6,2026-03-17,NORTH_COAST,residential,SUB-012,true,medium
M-00274,3255.0,2026-03-20,NORTH_COAST,residential,SUB-011,true,high
M-00275,1789.7,2026-03-13,NORTH_COAST,residential,SUB-023,true,medium
M-00276,1854.8,2026-03-10,WEST,commercial,SUB-036,true,medium
M-00277,3780.1,2026-03-10,NORTH_COAST,commercial,SUB-027,true,high
M-00278,4187.1,2026-03-20,NORTH,industrial,SUB-018,true,critical
M-00279,2595.0,2026-03-14,NORTH_COAST,residential,SUB-011,true,high
M-00280,3487.7,2026-03-11,SOUTH_COAST,residential,SUB-010,true,high
M-00281,811.1,2026-03-11,EAST,residential,SUB-030,true,medium
M-00282,3707.0,2026-03-12,EAST_INLAND,industrial,SUB-035,true,high
M-00283,3057.3,2026-03-15,NORTH,commercial,SUB-035,true,high
M-00284,4035.6,2026-03-18,EAST_COAST,residential,SUB-003,true,critical
M-00285,1438.0,2026-03-23,EAST,residential,SUB-024,true,medium
M-00286,3922.7,2026-03-21,NORTH,commercial,SUB-026,true,high
M-00287,1085.6,2026-03-21,NORTH_COAST,industrial,SUB-005,true,medium
M-00288,3321.9,2026-03-10,EAST_COAST,commercial,SUB-039,true,high
M-00289,2057.0,2026-03-22,EAST,residential,SUB-028,true,high
M-00290,3788.0,2026-03-18,NORTH_COAST,commercial,SUB-002,true,high
M-00291,4102.2,2026-03-15,SOUTH_COAST,industrial,SUB-009,true,critical
M-00292,3504.8,2026-03-21,EAST_COAST,industrial,SUB-013,true,high
M-00293,2994.3,2026-03-15,WEST,residential,SUB-011,true,high
M-00294,1469.1,2026-03-23,NORTH_COAST,residential,SUB-018,true,medium
M-00295,4171.3,2026-03-11,NORTH_COAST,industrial,SUB-021,true,critical
M-00296,255.1,2026-03-10,EAST_COAST,residential,SUB-013,true,low
M-00297,1577.4,2026-03-14,WEST_COAST,commercial,SUB-011,true,medium
M-00298,867.0,2026-03-16,SOUTH_INLAND,residential,SUB-030,true,medium
M-00299,1767.1,2026-03-20,NORTH_COAST,commercial,SUB-037,true,medium
M-00300,1501.9,2026-03-20,NORTH_COAST,residential,SUB-023,true,medium
M-00301,4232.7,2026-03-19,EAST_COAST,industrial,SUB-007,true,critical
M-00302,4185.7,2026-03-15,SOUTH,industrial,SUB-026,true,critical
M-00303,1470.7,2026-03-13,NORTH_COAST,commercial,SUB-028,true,medium
M-00304,2882.6,2026-03-23,NORTH_COAST,residential,SUB-017,true,high
M-00305,1304.4,2026-03-15,NORTH_COAST,residential,SUB-028,true,medium
M-00306,2187.3,2026-03-17,SOUTH,residential,SUB-021,true,high
M-00307,650.3,2026-03-16,NORTH_COAST,commercial,SUB-005,true,medium
M-00308,1055.4,2026-03-19,EAST,residential,SUB-038,true,medium
M-00309,4423.5,2026-03-23,WEST,industrial,SUB-005,true,critical
M-00310,1856.6,2026-03-13,NORTH,residential,SUB-010,true,medium
M-00311,1856.6,2026-03-17,NORTH_COAST,residential,SUB-032,true,medium
M-00312,3251.3,2026-03-11,NORTH_COAST,commercial,SUB-022,true,high
M-00313,2511.5,2026-03-23,SOUTH_INLAND,residential,SUB-020,true,high
M-00314,3425.3,2026-03-19,NORTH_COAST,commercial,SUB-031,true,high
M-00315,1952.3,2026-03-14,NORTH_COAST,residential,SUB-036,true,medium
M-00316,3779.2,2026-03-12,EAST_COAST,commercial,SUB-032,true,high
M-00317,4199.0,2026-03-22,NORTH_COAST,industrial,SUB-019,true,critical
M-00318,2982.7,2026-03-22,EAST_COAST,commercial,SUB-009,true,high
M-00319,1338.5,2026-03-12,SOUTH,residential,SUB-005,true,medium
M-00320,3107.7,2026-03-22,EAST_COAST,residential,SUB-015,true,high
M-00321,2545.4,2026-03-16,SOUTH,commercial,SUB-013,true,high
M-00322,3725.3,2026-03-22,WEST_INLAND,commercial,SUB-014,true,high
M-00323,712.4,2026-03-17,NORTH_COAST,residential,SUB-013,true,medium
M-00324,2795.0,2026-03-22,NORTH_COAST,residential,SUB-005,true,high
M-00325,2653.5,2026-03-13,NORTH_COAST,residential,SUB-038,true,high
M-00326,2735.4,2026-03-22,NORTH_COAST,residential,SUB-012,true,high
M-00327,4317.4,2026-03-10,WEST,residential,SUB-004,true,critical
M-00328,1802.2,2026-03-15,NORTH_COAST,commercial,SUB-005,true,medium
M-00329,1145.3,2026-03-14,NORTH_COAST,residential,SUB-035,true,medium
M-00330,311.5,2026-03-23,WEST_COAST,residential,SUB-031,true,low
M-00331,2978.9,2026-03-20,WEST_COAST,residential,SUB-008,true,high
M-00332,1463.7,2026-03-22,NORTH_COAST,industrial,SUB-014,true,medium
M-00333,2480.9,2026-03-17,EAST_COAST,industrial,SUB-013,true,high
M-00334,3623.1,2026-03-13,SOUTH,residential,SUB-004,true,high
M-00335,1860.8,2026-03-23,NORTH,residential,SUB-003,true,medium
M-00336,1476.6,2026-03-16,EAST_COAST,commercial,SUB-010,true,medium
M-00337,3480.9,2026-03-16,NORTH_COAST,residential,SUB-007,true,high
M-00338,3679.7,2026-03-17,SOUTH,residential,SUB-001,true,high
M-00339,2677.9,2026-03-17,EAST_INLAND,residential,SUB-013,true,high
M-00340,3654.5,2026-03-20,NORTH_COAST,residential,SUB-023,true,high
M-00341,1560.1,2026-03-19,WEST_INLAND,commercial,SUB-020,true,medium
M-00342,2989.8,2026-03-18,WEST,residential,SUB-037,true,high
M-00343,3424.4,2026-03-16,NORTH_COAST,residential,SUB-004,true,high
M-00344,3579.5,2026-03-11,WEST,industrial,SUB-012,true,high
M-00345,509.0,2026-03-12,SOUTH_COAST,residential,SUB-037,true,medium
M-00346,2844.8,2026-03-11,NORTH_COAST,commercial,SUB-002,true,high
M-00347,2304.1,2026-03-18,SOUTH_INLAND,residential,SUB-004,true,high
M-00348,3001.3,2026-03-10,SOUTH,residential,SUB-030,true,high
M-00349,1319.2,2026-03-17,NORTH_COAST,commercial,SUB-038,true,medium
M-00350,3077.4,2026-03-20,EAST,commercial,SUB-006,true,high
M-00351,4439.0,2026-03-17,NORTH_COAST,industrial,SUB-021,true,critical
M-00352,1074.7,2026-03-15,EAST_INLAND,residential,SUB-030,true,medium
M-00353,3322.8,2026-03-22,NORTH,residential,SUB-015,true,high
M-00354,4191.3,2026-03-18,EAST,residential,SUB-012,true,critical
M-00355,4239.5,2026-03-16,SOUTH_INLAND,residential,SUB-027,true,critical
M-00356,4341.7,2026-03-10,WEST,residential,SUB-019,true,critical
M-00357,320.2,2026-03-16,SOUTH,industrial,SUB-028,true,low
M-00358,2361.7,2026-03-10,NORTH_COAST,residential,SUB-037,true,high
M-00359,2109.2,2026-03-17,NORTH,residential,SUB-021,true,high
M-00360,1727.3,2026-03-10,NORTH_COAST,residential,SUB-026,true,medium
M-00361,3365.8,2026-03-21,NORTH_COAST,residential,SUB-004,true,high
M-00362,1205.8,2026-03-17,EAST,commercial,SUB-006,true,medium
M-00363,2096.0,2026-03-16,EAST_COAST,industrial,SUB-016,true,high
