pipeline_id,pipeline_name,owner_team,country,spark_version,status,created_date,last_run_date,monthly_compute_cost_usd,consumer_count,complexity,has_tests,has_documentation
PL-0044,pipeline_ingestion-se_044,ingestion-se,sweden,3.4.2,active,2025-06-19,2025-12-27,1727.0,9,simple,yes,yes
PL-0045,pipeline_ingestion-fi_045,ingestion-fi,finland,3.4.2,active,2023-08-27,2026-01-08,1858.0,12,simple,yes,no
PL-0046,pipeline_ingestion-fi_046,ingestion-fi,finland,3.5.1,active,2025-02-27,2026-01-01,837.0,0,moderate,no,no
PL-0047,pipeline_billing-se_047,billing-se,sweden,3.5.1,active,2024-12-24,2025-12-21,278.0,3,moderate,yes,yes
PL-0048,pipeline_analytics-no_048,analytics-no,norway,3.3.0,active,2023-05-24,2026-03-27,1312.0,1,moderate,yes,yes
PL-0049,pipeline_transform-se_049,transform-se,sweden,3.5.1,active,2023-09-07,2025-12-28,405.0,8,simple,yes,no
PL-0050,pipeline_platform-core_050,platform-core,norway,3.4.2,active,2024-02-28,2026-03-11,1569.0,11,complex,yes,no
PL-0051,pipeline_billing-no_051,billing-no,norway,3.4.2,active,2024-03-17,2025-12-19,1790.0,0,moderate,yes,no
PL-0052,pipeline_ingestion-no_052,ingestion-no,norway,3.4.2,active,2023-01-20,2026-01-17,1233.0,12,moderate,yes,no
PL-0053,pipeline_billing-no_053,billing-no,norway,3.4.2,active,2023-07-11,2025-12-24,1147.0,1,moderate,yes,yes
PL-0054,pipeline_ml-platform_054,ml-platform,norway,3.5.1,active,2024-06-27,2026-03-25,955.0,7,moderate,yes,yes
PL-0055,pipeline_billing-fi_055,billing-fi,finland,3.2.1,active,2024-03-07,2026-03-03,1991.0,4,simple,yes,no
PL-0056,pipeline_ingestion-se_056,ingestion-se,sweden,3.2.1,active,2023-06-24,2026-03-17,626.0,9,complex,no,yes
PL-0057,pipeline_billing-fi_057,billing-fi,finland,3.3.0,active,2025-06-04,2026-02-13,296.0,12,moderate,no,no
PL-0058,pipeline_analytics-no_058,analytics-no,norway,3.3.0,active,2023-08-27,2026-03-29,634.0,12,simple,no,yes
PL-0059,pipeline_analytics-no_059,analytics-no,norway,3.2.1,active,2024-05-20,2026-03-31,1471.0,7,simple,yes,yes
PL-0060,pipeline_transform-se_060,transform-se,sweden,3.3.0,active,2023-12-11,2026-02-03,1134.0,4,complex,no,no
PL-0061,pipeline_billing-se_061,billing-se,sweden,3.2.1,active,2024-07-09,2026-02-08,1446.0,9,simple,yes,no
PL-0062,pipeline_transform-no_062,transform-no,norway,3.5.1,active,2025-07-01,2025-12-06,555.0,6,simple,yes,yes
PL-0063,pipeline_analytics-no_063,analytics-no,norway,3.5.1,active,2023-04-11,2026-03-21,1848.0,3,complex,yes,yes
PL-0064,pipeline_billing-no_064,billing-no,norway,3.3.0,active,2025-02-17,2026-03-10,856.0,10,moderate,yes,no
PL-0065,pipeline_ingestion-se_065,ingestion-se,sweden,3.5.1,active,2024-07-25,2026-01-29,844.0,12,complex,yes,no
PL-0066,pipeline_transform-no_066,transform-no,norway,3.5.1,active,2023-05-29,2026-02-04,497.0,0,simple,no,no
PL-0067,pipeline_transform-no_067,transform-no,norway,3.5.1,active,2025-02-10,2026-03-15,1854.0,2,complex,no,yes
PL-0068,pipeline_ingestion-fi_068,ingestion-fi,finland,3.5.1,active,2024-10-08,2026-03-26,918.0,4,moderate,no,no
PL-0069,pipeline_billing-fi_069,billing-fi,finland,3.4.2,active,2025-08-23,2025-12-19,107.0,2,moderate,yes,no
PL-0070,pipeline_billing-fi_070,billing-fi,finland,3.4.2,active,2025-07-03,2026-01-20,668.0,2,complex,no,no
PL-0071,pipeline_ingestion-fi_071,ingestion-fi,finland,3.4.2,active,2025-05-29,2026-01-24,1368.0,0,complex,no,no
PL-0072,pipeline_ingestion-se_072,ingestion-se,sweden,3.4.2,active,2023-01-27,2026-01-24,1367.0,0,moderate,no,yes
PL-0073,pipeline_ingestion-fi_073,ingestion-fi,finland,3.5.1,active,2024-11-25,2025-12-13,756.0,3,complex,no,no
PL-0074,pipeline_analytics-no_074,analytics-no,norway,3.4.2,active,2024-03-05,2025-12-27,660.0,8,moderate,yes,no
PL-0075,pipeline_ingestion-no_075,ingestion-no,norway,3.5.1,deprecated,2025-07-28,2025-08-13,4.0,0,complex,yes,yes
PL-0076,pipeline_billing-no_076,billing-no,norway,3.3.0,inactive,2025-03-25,2025-12-05,61.0,0,moderate,no,no
PL-0077,pipeline_billing-no_077,billing-no,norway,3.5.1,active,2025-07-07,2026-01-09,1605.0,8,complex,yes,yes
PL-0078,pipeline_billing-no_078,billing-no,norway,3.5.1,active,2025-01-08,2026-01-17,154.0,12,moderate,yes,no
PL-0079,pipeline_ingestion-se_079,ingestion-se,sweden,3.4.2,active,2024-08-12,2026-01-18,251.0,10,moderate,yes,no
PL-0080,pipeline_transform-no_080,transform-no,norway,3.4.2,active,2023-09-24,2026-02-18,717.0,10,complex,no,no
PL-0081,pipeline_ingestion-fi_081,ingestion-fi,finland,3.5.1,deprecated,2025-07-05,2025-08-21,71.0,0,complex,yes,no
PL-0082,pipeline_billing-fi_082,billing-fi,finland,3.5.1,active,2024-02-15,2026-02-07,591.0,2,complex,yes,yes
PL-0083,pipeline_billing-no_083,billing-no,norway,3.4.2,active,2024-05-22,2026-01-28,1749.0,2,complex,no,yes
PL-0084,pipeline_billing-se_084,billing-se,sweden,3.5.1,active,2025-05-09,2026-03-15,1071.0,0,complex,no,yes
PL-0085,pipeline_ml-platform_085,ml-platform,norway,3.4.2,active,2023-12-09,2026-01-08,1139.0,6,moderate,yes,no
PL-0086,pipeline_ml-platform_086,ml-platform,norway,3.5.1,active,2025-08-22,2026-01-25,1776.0,4,moderate,yes,no
PL-0087,pipeline_transform-se_087,transform-se,sweden,3.4.2,active,2023-09-12,2026-03-08,731.0,0,moderate,yes,yes
PL-0088,pipeline_ingestion-fi_088,ingestion-fi,finland,3.4.2,active,2025-04-06,2026-01-12,1452.0,4,moderate,yes,no
PL-0089,pipeline_billing-fi_089,billing-fi,finland,3.5.1,deprecated,2023-05-27,2025-05-03,42.0,0,complex,yes,no
PL-0090,pipeline_analytics-no_090,analytics-no,norway,3.5.1,active,2025-03-29,2025-12-28,610.0,4,complex,yes,no
PL-0091,pipeline_transform-no_091,transform-no,norway,3.5.1,deprecated,2023-04-28,2025-10-21,66.0,0,simple,yes,no
PL-0092,pipeline_transform-se_092,transform-se,sweden,3.5.1,active,2025-06-18,2026-02-27,433.0,6,complex,yes,no
PL-0093,pipeline_ingestion-no_093,ingestion-no,norway,3.5.1,active,2023-02-20,2026-02-28,1153.0,7,complex,no,yes
PL-0094,pipeline_ingestion-fi_094,ingestion-fi,finland,3.4.2,active,2023-03-28,2026-01-10,127.0,6,complex,yes,no
PL-0095,pipeline_ingestion-se_095,ingestion-se,sweden,3.5.1,active,2025-07-23,2026-03-23,1032.0,2,complex,yes,no
PL-0096,pipeline_platform-core_096,platform-core,norway,3.2.1,active,2023-11-02,2026-01-08,270.0,6,simple,yes,yes
PL-0097,pipeline_billing-fi_097,billing-fi,finland,3.4.2,active,2025-04-24,2026-02-20,745.0,12,complex,no,no
PL-0098,pipeline_ingestion-no_098,ingestion-no,norway,3.5.1,active,2023-11-11,2026-03-29,1954.0,3,simple,yes,no
PL-0099,pipeline_ingestion-se_099,ingestion-se,sweden,3.3.0,active,2025-07-04,2026-01-23,1177.0,9,complex,yes,no
PL-0100,pipeline_platform-core_100,platform-core,norway,3.2.1,active,2023-08-20,2025-12-14,1533.0,5,complex,yes,yes
PL-0101,pipeline_transform-se_101,transform-se,sweden,3.4.2,active,2023-09-29,2026-03-31,1385.0,12,simple,yes,no
PL-0102,pipeline_transform-se_102,transform-se,sweden,3.2.1,active,2023-06-12,2026-01-16,566.0,4,moderate,no,no
PL-0103,pipeline_ml-platform_103,ml-platform,norway,3.3.0,active,2023-12-31,2025-12-12,1515.0,0,complex,yes,yes
PL-0104,pipeline_platform-core_104,platform-core,norway,3.4.2,active,2023-11-19,2026-03-15,1315.0,1,moderate,no,no
PL-0105,pipeline_ml-platform_105,ml-platform,norway,3.3.0,deprecated,2023-11-21,2025-12-28,3.0,0,complex,yes,no
PL-0106,pipeline_platform-core_106,platform-core,norway,3.4.2,active,2024-09-20,2026-03-27,670.0,10,complex,no,no
PL-0107,pipeline_ingestion-fi_107,ingestion-fi,finland,3.2.1,active,2024-07-07,2025-12-21,463.0,10,complex,no,no
PL-0108,pipeline_ml-platform_108,ml-platform,norway,3.3.0,active,2025-05-24,2026-02-20,1883.0,7,simple,yes,no
PL-0109,pipeline_ingestion-se_109,ingestion-se,sweden,3.5.1,active,2024-12-07,2026-01-23,589.0,5,moderate,no,no
PL-0110,pipeline_billing-se_110,billing-se,sweden,3.3.0,active,2025-01-14,2026-02-07,1116.0,1,complex,yes,no
PL-0111,pipeline_analytics-no_111,analytics-no,norway,3.3.0,active,2024-07-13,2025-12-04,1062.0,3,simple,yes,no
PL-0112,pipeline_transform-no_112,transform-no,norway,3.4.2,active,2025-08-12,2025-12-06,677.0,10,simple,no,yes
PL-0113,pipeline_transform-se_113,transform-se,sweden,3.5.1,active,2024-05-01,2026-03-30,933.0,2,simple,yes,yes
PL-0114,pipeline_ingestion-no_114,ingestion-no,norway,3.5.1,deprecated,2023-12-13,2025-02-09,1.0,0,simple,yes,no
PL-0115,pipeline_transform-no_115,transform-no,norway,3.4.2,active,2023-07-10,2026-01-14,1137.0,2,moderate,yes,no
PL-0116,pipeline_analytics-no_116,analytics-no,norway,3.4.2,active,2024-06-29,2025-12-01,484.0,0,simple,no,no
PL-0117,pipeline_analytics-no_117,analytics-no,norway,3.5.1,active,2023-10-14,2026-02-07,1382.0,12,complex,yes,no
PL-0118,pipeline_ingestion-fi_118,ingestion-fi,finland,3.4.2,active,2024-07-05,2026-01-07,592.0,2,simple,yes,no
PL-0119,pipeline_ml-platform_119,ml-platform,norway,3.2.1,active,2024-12-25,2026-03-08,1294.0,7,simple,yes,no
PL-0120,pipeline_ingestion-no_120,ingestion-no,norway,3.5.1,active,2024-09-20,2025-12-12,707.0,10,simple,yes,no
PL-0121,pipeline_ingestion-no_121,ingestion-no,norway,3.3.0,active,2023-05-28,2026-01-08,92.0,7,moderate,yes,no
PL-0122,pipeline_platform-core_122,platform-core,norway,3.2.1,active,2024-05-25,2026-01-18,535.0,2,moderate,yes,yes
PL-0123,pipeline_ingestion-no_123,ingestion-no,norway,3.4.2,active,2023-04-16,2025-12-12,1525.0,7,simple,yes,no
PL-0124,pipeline_ingestion-se_124,ingestion-se,sweden,3.3.0,active,2025-04-04,2025-12-11,357.0,10,complex,yes,no
PL-0125,pipeline_billing-no_125,billing-no,norway,3.2.1,active,2025-08-03,2026-02-24,942.0,12,complex,yes,no
PL-0126,pipeline_transform-no_126,transform-no,norway,3.4.2,active,2023-10-17,2026-03-29,1709.0,5,simple,yes,yes
PL-0127,pipeline_ingestion-se_127,ingestion-se,sweden,3.4.2,active,2025-04-20,2026-02-19,819.0,6,simple,no,no
PL-0128,pipeline_platform-core_128,platform-core,norway,3.5.1,active,2023-08-23,2026-03-22,671.0,7,simple,no,no
PL-0129,pipeline_billing-no_129,billing-no,norway,3.4.2,active,2024-08-03,2026-02-06,486.0,3,moderate,no,no
PL-0130,pipeline_analytics-no_130,analytics-no,norway,3.5.1,active,2024-05-26,2026-01-05,1303.0,3,complex,yes,no
PL-0131,pipeline_platform-core_131,platform-core,norway,3.3.0,active,2023-04-12,2026-01-31,476.0,10,simple,no,yes
PL-0132,pipeline_billing-no_132,billing-no,norway,3.2.1,active,2023-06-11,2025-12-16,1075.0,5,simple,no,yes
PL-0133,pipeline_transform-se_133,transform-se,sweden,3.5.1,active,2024-12-07,2025-12-07,792.0,4,complex,yes,yes
PL-0134,pipeline_analytics-no_134,analytics-no,norway,3.5.1,active,2023-11-25,2025-12-14,160.0,1,simple,no,no
PL-0135,pipeline_ingestion-no_135,ingestion-no,norway,3.4.2,active,2024-11-16,2026-03-14,961.0,1,complex,yes,no
PL-0136,pipeline_transform-se_136,transform-se,sweden,3.2.1,active,2025-04-14,2026-02-09,176.0,4,simple,yes,no
PL-0137,pipeline_transform-no_137,transform-no,norway,3.4.2,deprecated,2025-03-19,2025-01-23,33.0,0,moderate,yes,no
PL-0138,pipeline_billing-no_138,billing-no,norway,3.5.1,active,2023-11-05,2026-02-03,116.0,7,complex,yes,no
PL-0139,pipeline_analytics-no_139,analytics-no,norway,3.4.2,active,2024-09-30,2026-01-05,1024.0,1,simple,yes,yes
PL-0140,pipeline_billing-se_140,billing-se,sweden,3.4.2,active,2024-04-10,2025-12-11,187.0,5,moderate,yes,no
PL-0141,pipeline_ingestion-se_141,ingestion-se,sweden,3.5.1,active,2024-08-24,2025-12-09,1407.0,1,simple,no,no
PL-0142,pipeline_transform-se_142,transform-se,sweden,3.5.1,active,2023-12-10,2026-01-08,1051.0,10,complex,no,no
PL-0143,pipeline_ingestion-no_143,ingestion-no,norway,3.5.1,deprecated,2024-03-09,2025-03-07,71.0,0,moderate,yes,no
PL-0144,pipeline_transform-no_144,transform-no,norway,3.3.0,active,2023-07-24,2026-03-04,468.0,1,moderate,yes,no
PL-0145,pipeline_analytics-no_145,analytics-no,norway,3.5.1,active,2025-02-11,2026-02-15,1623.0,8,simple,yes,yes
PL-0146,pipeline_analytics-no_146,analytics-no,norway,3.4.2,active,2024-12-01,2025-12-13,1770.0,11,simple,yes,no
PL-0147,pipeline_billing-se_147,billing-se,sweden,3.4.2,active,2025-06-09,2025-12-15,1893.0,11,moderate,yes,no
PL-0148,pipeline_transform-se_148,transform-se,sweden,3.3.0,active,2024-03-10,2026-01-07,1581.0,11,simple,yes,yes
PL-0149,pipeline_billing-se_149,billing-se,sweden,3.4.2,active,2024-06-04,2026-02-19,416.0,11,simple,yes,yes
PL-0150,pipeline_transform-se_150,transform-se,sweden,3.3.0,active,2023-09-09,2026-02-21,867.0,11,simple,no,yes
