meter_id,daily_kw,date,region,is_valid
M-0054,1571.9,2026-03-05,WEST,true
M-0123,1776.4,2026-03-10,EAST,true
M-0105,3641.4,2026-03-02,EAST,true
M-0136,817.3,2026-03-02,SOUTH,true
M-0064,2324.8,2026-03-06,SOUTH,true
M-0124,3120.9,2026-03-11,NORTH,true
M-0051,2359.3,2026-03-06,SOUTH,true
M-0106,1297.0,2026-03-11,NORTH,true
M-0115,3784.0,2026-03-01,SOUTH,true
M-0020,1609.8,2026-03-14,NORTH,true
M-0012,3993.4,2026-03-08,NORTH,true
M-0075,3643.1,2026-03-13,NORTH,true
M-0001,3886.0,2026-03-07,NORTH,true
M-0141,,2026-03-05,NORTH,false
M-0096,2299.8,2026-03-05,SOUTH,true
M-0024,2478.0,2026-03-06,SOUTH,true
M-0081,2377.4,2026-03-10,NORTH,true
M-0116,3011.8,2026-03-12,WEST,true
M-0048,1483.1,2026-03-06,EAST,true
M-0025,2589.5,2026-03-01,SOUTH,true
M-0120,2364.4,2026-03-08,NORTH,true
M-0097,1906.4,2026-03-08,NORTH,true
M-0015,399.3,2026-03-07,EAST,true
M-0014,3691.0,2026-03-11,WEST,true
M-0098,3728.6,2026-03-01,SOUTH,true
M-0110,4063.4,2026-03-02,WEST,true
M-0022,3861.1,2026-03-01,NORTH,true
M-0008,2256.8,2026-03-01,SOUTH,true
M-0143,,2026-03-07,SOUTH,false
M-0086,1770.3,2026-03-13,EAST,true
M-0059,751.5,2026-03-09,NORTH,true
M-0131,1394.5,2026-03-03,SOUTH,true
M-0040,774.0,2026-03-07,WEST,true
M-0122,2180.3,2026-03-05,NORTH,true
M-0033,2419.2,2026-03-15,EAST,true
M-0114,2078.6,2026-03-01,NORTH,true
M-0150,-38.3,2026-03-07,NORTH,false
M-0036,4087.4,2026-03-03,SOUTH,true
M-0121,2910.5,2026-03-04,WEST,true
M-0108,4132.7,2026-03-07,NORTH,true
M-0053,3268.7,2026-03-15,NORTH,true
M-0049,3961.1,2026-03-05,EAST,true
M-0057,3861.6,2026-03-02,NORTH,true
M-0076,1271.2,2026-03-05,NORTH,true
M-0046,2390.4,2026-03-13,EAST,true
M-0147,-11.1,2026-03-02,NORTH,false
M-0137,2475.6,2026-03-08,SOUTH,true
M-0079,2227.8,2026-03-08,SOUTH,true
M-0029,3295.5,2026-03-03,NORTH,true
M-0060,3777.5,2026-03-06,EAST,true
M-0103,3712.8,2026-03-08,NORTH,true
M-0038,2981.7,2026-03-07,EAST,true
M-0002,1135.1,2026-03-05,EAST,true
M-0129,2898.3,2026-03-10,EAST,true
M-0085,2167.6,2026-03-15,EAST,true
M-0130,3992.3,2026-03-14,SOUTH,true
M-0134,1255.7,2026-03-02,NORTH,true
M-0078,1373.3,2026-03-14,WEST,true
M-0101,2754.8,2026-03-02,SOUTH,true
M-0041,2429.0,2026-03-03,NORTH,true
M-0071,3983.5,2026-03-11,EAST,true
M-0026,1267.6,2026-03-12,SOUTH,true
M-0149,-25.6,2026-03-04,EAST,false
M-0092,2416.0,2026-03-13,NORTH,true
M-0018,2390.2,2026-03-07,NORTH,true
M-0007,2984.1,2026-03-12,NORTH,true
M-0102,2865.3,2026-03-03,EAST,true
M-0138,4138.3,2026-03-10,NORTH,true
M-0067,2998.2,2026-03-12,SOUTH,true
M-0132,3509.6,2026-03-11,NORTH,true
M-0117,2562.3,2026-03-06,WEST,true
M-0063,4044.6,2026-03-13,NORTH,true
M-0126,3992.2,2026-03-11,NORTH,true
M-0042,134.9,2026-03-13,WEST,true
M-0073,2869.1,2026-03-05,EAST,true
M-0082,1225.8,2026-03-11,SOUTH,true
M-0016,151.0,2026-03-05,NORTH,true
M-0009,1606.0,2026-03-03,EAST,true
M-0021,3042.3,2026-03-15,NORTH,true
M-0128,405.4,2026-03-08,SOUTH,true
M-0093,2099.5,2026-03-06,NORTH,true
M-0017,2569.3,2026-03-08,NORTH,true
M-0133,4064.4,2026-03-10,SOUTH,true
M-0099,2935.3,2026-03-04,NORTH,true
M-0135,1433.1,2026-03-05,NORTH,true
M-0095,3498.3,2026-03-10,SOUTH,true
M-0127,724.5,2026-03-08,EAST,true
M-0044,2348.4,2026-03-02,EAST,true
M-0062,3659.7,2026-03-02,NORTH,true
M-0055,1103.0,2026-03-10,WEST,true
M-0070,2449.2,2026-03-08,EAST,true
M-0069,2264.8,2026-03-04,NORTH,true
M-0050,3071.4,2026-03-07,EAST,true
M-0068,441.0,2026-03-12,SOUTH,true
