timestamp,country_code,turbine_id,rpm,temperature_c,wind_speed_ms
2026-04-08 14:00:54,FR,TUR-FR-005,1280.6,69.1,15.6
2026-04-08 14:02:06,NL,TUR-NL-002,1390.0,69.4,9.0
2026-04-08 14:00:36,LU,TUR-LU-002,1440.7,67.1,10.2
2026-04-08 14:01:30,DE,TUR-DE-001,1346.7,55.8,11.8
2026-04-08 14:01:42,FR,TUR-FR-003,1367.0,58.4,16.4
2026-04-08 14:00:24,NL,TUR-NL-005,1103.4,74.1,13.9
2026-04-08 14:01:30,NL,TUR-NL-001,1323.7,62.8,9.7
2026-04-08 14:01:24,FR,TUR-FR-005,1253.2,72.7,9.7
2026-04-08 14:01:06,NL,TUR-NL-002,1314.8,73.2,8.7
2026-04-08 14:02:18,NL,TUR-NL-004,1410.2,61.7,15.8
2026-04-08 14:01:18,LU,TUR-LU-004,1175.4,69.2,14.6
2026-04-08 14:02:12,DE,TUR-DE-003,1462.6,57.2,14.0
2026-04-08 14:01:48,FR,TUR-FR-004,1486.6,62.1,9.4
2026-04-08 14:00:06,FR,TUR-FR-002,1419.7,61.6,12.3
2026-04-08 14:00:54,LU,TUR-LU-005,1316.8,61.7,8.2
2026-04-08 14:01:36,FR,TUR-FR-002,1413.6,55.5,15.8
2026-04-08 14:01:24,LU,TUR-LU-005,1321.0,64.4,16.7
2026-04-08 14:01:48,DE,TUR-DE-004,1298.7,73.4,12.2
2026-04-08 14:02:00,LU,TUR-LU-001,1477.6,55.4,9.0
2026-04-08 14:01:48,LU,TUR-LU-004,1155.1,67.5,11.4
2026-04-08 14:01:54,FR,TUR-FR-005,1386.2,70.4,16.8
2026-04-08 14:01:36,NL,TUR-NL-002,1357.1,65.8,11.0
2026-04-08 14:02:00,NL,TUR-NL-001,1292.8,73.9,13.4
2026-04-08 14:00:42,NL,TUR-NL-003,1354.7,56.1,14.0
2026-04-08 14:00:12,FR,TUR-FR-003,1199.3,69.8,12.3
2026-04-08 14:01:00,DE,TUR-DE-001,1459.3,56.6,13.5
2026-04-08 14:02:12,FR,TUR-FR-003,1203.6,56.0,17.8
2026-04-08 14:00:24,LU,TUR-LU-005,1453.4,69.7,10.1
2026-04-08 14:00:54,DE,TUR-DE-005,1483.3,56.1,13.6
2026-04-08 14:01:24,DE,TUR-DE-005,1342.6,58.0,10.7
2026-04-08 14:01:54,DE,TUR-DE-005,1498.0,75.0,9.2
2026-04-08 14:01:06,LU,TUR-LU-002,1123.4,60.5,11.0
2026-04-08 14:00:48,FR,TUR-FR-004,1342.6,55.2,8.6
2026-04-08 14:00:00,FR,TUR-FR-001,1344.5,55.9,11.7
2026-04-08 14:02:06,FR,TUR-FR-002,1423.0,64.9,15.1
2026-04-08 14:01:00,LU,TUR-LU-001,1353.9,59.7,10.6
2026-04-08 14:00:24,FR,TUR-FR-005,1322.4,68.9,8.7
2026-04-08 14:00:42,LU,TUR-LU-003,1227.1,59.9,14.0
2026-04-08 14:01:18,DE,TUR-DE-004,1315.9,55.3,8.8
2026-04-08 14:02:12,NL,TUR-NL-003,1450.3,55.7,14.0
2026-04-08 14:00:00,LU,TUR-LU-001,1490.5,62.4,15.4
2026-04-08 14:02:24,FR,TUR-FR-005,1297.8,57.0,8.5
2026-04-08 14:00:00,NL,TUR-NL-001,1311.5,58.5,14.3
2026-04-08 14:01:36,LU,TUR-LU-002,1420.1,74.5,15.9
2026-04-08 14:00:30,NL,TUR-NL-001,1133.7,70.6,10.2
2026-04-08 14:00:18,NL,TUR-NL-004,1345.3,68.6,12.1
2026-04-08 14:01:12,DE,TUR-DE-003,1451.7,56.1,11.8
2026-04-08 14:01:42,LU,TUR-LU-003,1259.6,59.2,10.8
2026-04-08 14:00:24,DE,TUR-DE-005,1331.9,58.5,14.1
2026-04-08 14:01:18,FR,TUR-FR-004,1183.4,62.8,14.1
2026-04-08 14:02:18,DE,TUR-DE-004,1259.3,67.8,8.9
2026-04-08 14:00:42,DE,TUR-DE-003,1423.8,59.0,16.9
2026-04-08 14:00:06,DE,TUR-DE-002,1162.9,59.8,9.1
2026-04-08 14:00:18,FR,TUR-FR-004,1169.1,73.9,17.9
2026-04-08 14:00:30,DE,TUR-DE-001,1446.6,55.1,13.0
2026-04-08 14:01:30,FR,TUR-FR-001,1333.7,64.0,12.0
2026-04-08 14:02:06,DE,TUR-DE-002,1390.3,63.4,8.9
2026-04-08 14:00:30,FR,TUR-FR-001,1369.6,66.8,15.7
2026-04-08 14:01:48,NL,TUR-NL-004,1288.1,65.7,8.3
